CONs,Value,Description
J,0.7,KVP - Voltage controller proportional gain
J+1,1,KVI - Voltage controller integral gain
J+2,0.02,TVM - Voltage measurement delay
J+3,0.02,TPM - Active power measurement delay
J+4,0.02,TQM - Reactive power measurement delay
J+5,1.2,KPFFF - Power Factor controller feed forward gain
J+6,0.3,TPFI - Power Factor controller integral time constant
J+7,1.2,KQFF - Remote Q feed forward gain
J+8,0.2,TQI - Remote Q integral time constant
J+9,0.7,KPFF - Remote P feed forward constant
J+10,1,TPI - Remote P integral time constant
J+11,0.02,TDF - Frequency measurement delay
J+12,10,PRamp_UP - Active power ramp up rate. pu/s
J+13,10,PRamp_DN - Active power ramp down rate. pu/s
J+14,0.08,KVFFSP - V-Stack remote Q feed forward gain
J+15,0.4,TVISP - V-Stack Q integral time constant
J+16,1800,TSOC - Integral time constant for charging/discharging
J+17,1.06,OVDB - Over voltage deadband for stackable voltage logic
J+18,1.1,OVV1 - Stackable voltage logic first high voltage V point
J+19,1.1,OVV2 - Stackable voltage logic second high voltage V point
J+20,1.1,OVV3 - Stackable voltage logic third high voltage V point
J+21,-0.266,OVQ1 - Stackable voltage logic first high voltage Q point
J+22,-0.266,OVQ2 - Stackable voltage logic second high voltage Q point
J+23,-0.266,OVQ3 - Stackable voltage logic third high voltage Q point
J+24,1.06,UVDB - Under voltage deadband for stackable voltage logic
J+25,1.02,UVV1 - Stackable voltage logic first low voltage V point
J+26,1.02,UVV2 - Stackable voltage logic second low voltage V point
J+27,1.02,UVV3 - Stackable voltage logic third low voltage V point
J+28,0.266,UVQ1 - Stackable voltage logic first low voltage Q point
J+29,0.266,UVQ2 - Stackable voltage logic second low voltage Q point
J+30,0.266,UVQ3 - Stackable voltage logic third low voltage Q point
J+31,50.015,OFDB - Over frequency deadband for stackable frequency logic
J+32,50.015,OFF1 - Stackable frequency logic first high frequency F point
J+33,51.5,OFF2 - Stackable frequency logic second high frequency F point
J+34,52.5,OFF3 - Stackable frequency logic third high frequency F point
J+35,-0.00402,OFP1 - Stackable frequency logic first high frequency P point
J+36,-0.402,OFP2 - Stackable frequency logic second high frequency P point
J+37,-0.67,OFP3 - Stackable frequency logic third high frequency P point
J+38,49.985,UFDB - Under frequency deadband for stackable frequency logic
J+39,49.985,UFF1 - Stackable frequency logic first low frequency F point
J+40,48.5,UFF2 - Stackable frequency logic second low frequency F point
J+41,47.5,UFF3 - Stackable frequency logic third low frequency F point
J+42,0.00402,UFP1 - Stackable frequency logic first low frequency P point
J+43,0.402,UFP2 - Stackable frequency logic second low frequency P point
J+44,0.67,UFP3 - Stackable frequency logic third low frequency P point
J+45,1,QMAXINV - Maximum reactive power from inverter
J+46,-1,QMININV - Minimum reactive power from inverter
J+47,0.8,PMAXINV - Maximum active power from inverter
J+48,-0.8,PMININV - Minimum active power from inverter
J+49,1,QMAXINT - Maximum reactive power from remote Q control integrator
J+50,-1,QMININT - Minimum reactive power from remote Q control integrator
J+51,0.8,PMAXINT - Maximum active power from remote P control integrator
J+52,-0.8,PMININT - Minimum active power from remote P control integrator
J+53,1,QMAXPI - Maximum reactive power from Power Factor Q control PI
J+54,-1,QMINPI - Minimum reactive power from Power Factor Q control PI
J+55,1,QMAXPIVSP - Maximum reactive power from remote V-Stack control integrator
J+56,-1,QMINPIVSP - Minimum reactive power from remote V-Stack control integrator
J+57,12,SOCMIN - Minimum battery charge
J+58,98,SOCMAX - Maximum battery charge
J+59,50,SOCINI - Initial battery charge
J+60,0.1,TQC - Time delay for Q inverter command. sec
J+61,0.02,TPC - Time delay for P inverter command. sec
J+62,0.1,TPE - Time delay for P external inverter command
J+63,0.1,TQE - Time delay for Q external inverter command
J+64,0.85,LVRT - Low voltage threshold for PPC freeze. pu
J+65,0.03,LVRT_HYST - Low voltage hysteresis for PPC freeze (>0). pu
J+66,1.15,HVRT - High voltage threshold for PPC freeze. pu
J+67,0.03,HVRT_HYST - High voltage hysteresis for PPC freeze (>0). pu
