CON,Value,Parameter,Description
J+0,4600,Rtg.VARtg,Apparent power rating in kVA can be set using this parameter. If set to 0.0. then rated apparent power as per Inverter type (ICON(M+2)) will be used
J+1,4600,Rtg.WRtg,Active power rating in kW can be set using this parameter. If set to 0.0. then rated Active power as per Inverter type (ICON(M+2)) will be used 
J+2,0,Rtg.VarRtg,Reactive power rating in kVar can be set using this parameter. If set to 0.0. then rated reactive power as per Inverter type (ICON(M+2)) will be used 
J+3,0,Rtg.AmpRtg,Current rating in A can be set using this parameter. If set to 0.0. then rated current rating as per Inverter type (ICON(M+2)) will be used 
J+4,0,Rtg.VADrtPriMod,Prioritizing of control in case of derating 0: Q Priority. 1: P Priority 
J+5,1,Rtg.DrtFac,Derating Factor to emulate the thermal derating of the device 
J+6,1,Spt.WGraMod,Active power gradient. activation 
J+7,1,Spt.VArGraMod,Reactive power gradient. activation 
J+8,100,Spt.WGra,Gradient for active power p.u./s 
J+9,100,Spt.VArGra,Gradient for reactive power p.u./s 
J+10,1,Spt.WFilMod ,Filter for active power setpoint. activation 
J+11,1,Spt.VArFilMod,Filter for reactive power setpoint. activation
J+12,0.1,Spt.WFilTm,WSpt. filter time constant in s
J+13,0.1,Spt.VArFilTm,VArSpt. filter time constant in s
J+14,0.46,Filt.VolDQFilTm,DQ Voltage. filter time constant in s
J+15,0.005,Filt.VolPsFilTm,Voltage filter time constant for conversion VA to Amp in s
J+16,0.01,Filt.AmpDFilTm,D axis current. filter time constant in s
J+17,0.02,Filt.AmpQFilTm,Q axis current. filter time constant in s
J+18,0.01,Filt.ABControlDFilTm,Filter time constant for D-axis voltage for AB Control in s (PSS/E Specific)
J+19,0.01,Filt.ABControlQFilTm,Filter time constant for Q-axis voltage for AB Control in s (PSS/E Specific)
J+20,0.1,Filt.AvalPwrFilTm,Filter time constant for calculated available active and reactive power in s
J+21,0.1,Filt.HzFilTm,Grid Management. time constant frequency filter
J+22,5,Filt.VolSptGra,Rate limiter in p.u/s over voltage setpoint (VAR(L+3)) applied to the inverter
