CableGroup,Parameter, Description, Units,HEYWOODBESS
1,R1,Positive Sequence Resistance,pu,0.000141
1,X1,Positive Sequence Reactance,pu,0.000163
1,B1,Positive Sequence Susceptance,pu,0.000821
1,R0,Zero Sequence Resistance,pu,0.000522
1,X0,Zero Sequence Reactance,pu,0.00008
1,B0,Zero Sequence Susceptance,pu,0.000821
2,R1,Positive Sequence Resistance,pu,0.00035
2,X1,Positive Sequence Reactance,pu,0.000402
2,B1,Positive Sequence Susceptance,pu,0.002199
2,R0,Zero Sequence Resistance,pu,0.00129
2,X0,Zero Sequence Reactance,pu,0.000199
2,B0,Zero Sequence Susceptance,pu,0.002199
3,R1,Positive Sequence Resistance,pu,0.00022
3,X1,Positive Sequence Reactance,pu,0.000254
3,B1,Positive Sequence Susceptance,pu,0.001334
3,R0,Zero Sequence Resistance,pu,0.000813
3,X0,Zero Sequence Reactance,pu,0.000125
3,B0,Zero Sequence Susceptance,pu,0.001334
4,R1,Positive Sequence Resistance,pu,0.000169
4,X1,Positive Sequence Reactance,pu,0.000192
4,B1,Positive Sequence Susceptance,pu,0.000964
4,R0,Zero Sequence Resistance,pu,0.000612
4,X0,Zero Sequence Reactance,pu,0.000094
4,B0,Zero Sequence Susceptance,pu,0.000958
