Test No,Category,Grid_SCR,Grid_X2R_sig,Ppoc_pu,Qpoc_pu,Fault_Type_sig,Fault_Duration_sig,Zf2Zs_sig,Comments
1,Balanced Faults,10.0,14.0,1.0,0.0,7,0.43,0.0,
2,Balanced Faults,10.0,14.0,1.0,-0.3,7,0.43,0.0,
3,Balanced Faults,10.0,14.0,1.0,0.3,7,0.43,0.0,
4,Balanced Faults,3.0,14.0,1.0,0.0,7,0.43,0.0,
5,Balanced Faults,3.0,3.0,1.0,-0.3,7,0.43,0.0,
6,Balanced Faults,3.0,3.0,1.0,0.3,7,0.43,0.0,
7,Balanced Faults,10.0,14.0,0.05,0.0,7,0.43,0.0,
8,Balanced Faults,10.0,14.0,0.05,-0.3,7,0.43,0.0,
9,Balanced Faults,10.0,14.0,0.05,0.3,7,0.43,0.0,
10,Balanced Faults,3.0,14.0,0.05,0.0,7,0.43,0.0,
11,Balanced Faults,3.0,3.0,0.05,-0.3,7,0.43,0.0,
12,Balanced Faults,3.0,3.0,0.05,0.3,7,0.43,0.0,
13,Balanced Faults,10.0,14.0,1.0,0.0,7,0.43,1.0,
14,Balanced Faults,10.0,14.0,1.0,-0.3,7,0.43,1.0,
15,Balanced Faults,10.0,14.0,1.0,0.3,7,0.43,1.0,
16,Balanced Faults,3.0,14.0,1.0,0.0,7,0.43,1.0,
17,Balanced Faults,3.0,3.0,1.0,-0.3,7,0.43,1.0,
18,Balanced Faults,3.0,3.0,1.0,0.3,7,0.43,1.0,
19,Balanced Faults,10.0,14.0,0.05,0.0,7,0.43,1.0,
20,Balanced Faults,10.0,14.0,0.05,-0.3,7,0.43,1.0,
21,Balanced Faults,10.0,14.0,0.05,0.3,7,0.43,1.0,
22,Balanced Faults,3.0,14.0,0.05,0.0,7,0.43,1.0,
23,Balanced Faults,3.0,3.0,0.05,-0.3,7,0.43,1.0,
24,Balanced Faults,3.0,3.0,0.05,0.3,7,0.43,1.0,
25,Balanced Faults,10.0,14.0,1.0,0.0,7,0.5,2.0,
26,Balanced Faults,10.0,14.0,1.0,-0.3,7,0.5,2.0,
27,Balanced Faults,10.0,14.0,1.0,0.3,7,0.5,2.0,
28,Balanced Faults,3.0,14.0,1.0,0.0,7,0.5,2.0,
29,Balanced Faults,3.0,3.0,1.0,-0.3,7,0.5,2.0,
30,Balanced Faults,3.0,3.0,1.0,0.3,7,0.5,2.0,
31,Balanced Faults,10.0,14.0,0.05,0.0,7,0.5,2.0,
32,Balanced Faults,10.0,14.0,0.05,-0.3,7,0.5,2.0,
33,Balanced Faults,10.0,14.0,0.05,0.3,7,0.5,2.0,
34,Balanced Faults,3.0,14.0,0.05,0.0,7,0.5,2.0,
35,Balanced Faults,3.0,3.0,0.05,-0.3,7,0.5,2.0,
36,Balanced Faults,3.0,3.0,0.05,0.3,7,0.5,2.0,
37,Unbalanced Faults,10.0,14.0,1.0,0.0,4,0.43,0.0,
37,Unbalanced Faults,3.68,5.0,1.0,0.0,4,0.43,0.0,
37,Unbalanced Faults,8.6,6.5,1.0,0.0,4,0.43,0.0,
38,Unbalanced Faults,10.0,14.0,1.0,-0.3,4,0.43,0.0,
39,Unbalanced Faults,10.0,14.0,1.0,0.3,4,0.43,0.0,
40,Unbalanced Faults,3.0,14.0,1.0,0.0,4,0.43,0.0,
41,Unbalanced Faults,3.0,3.0,1.0,-0.3,4,0.43,0.0,
42,Unbalanced Faults,3.0,3.0,1.0,0.3,4,0.43,0.0,
43,Unbalanced Faults,10.0,14.0,0.05,0.0,4,0.43,0.0,
43,Unbalanced Faults,3.68,5.0,0.05,0.0,4,0.43,0.0,
43,Unbalanced Faults,8.6,6.5,0.05,0.0,4,0.43,0.0,
44,Unbalanced Faults,10.0,14.0,0.05,-0.3,4,0.43,0.0,
45,Unbalanced Faults,10.0,14.0,0.05,0.3,4,0.43,0.0,
46,Unbalanced Faults,3.0,14.0,0.05,0.0,4,0.43,0.0,
