DocNumber,Revision,Date,Document
-,-,29/07/2021,5.3.4A Letter
-,-,24/01/2022,Request for 5.3.4A Letter Extension (Jan 2022)
-,-,7/04/2022,Request for 5.3.4A Letter Extension (Apr 2022)
-,-,7/06/2022,Request for 5.3.4A Letter Extension (Jun 2022 No. 1)
-,-,15/06/2022,Request for 5.3.4A Letter Extension (Jun 2022 No. 2)
-,-,23/10/2023,Extension to the Condition Precedent Fulfilment Date - Project Construction and Co-ordination Deed for Goorambat East Terminal Station and Interface
-,14,7/08/2020,Goorambat East SF Project_Tracker - V5.1.xslx (rev 14)
JA7542-6-5,5,6/08/2020,CS Report v5
-,-,11/09/2019,Response to Connection Enquiry 
-,-,7/11/2018,Operation of the Sunny Central inverters at low SCR
JA7542-5-6,6,28/07/2020,PSSE RUG v6
JA7542-4-2,2,3/03/2020,PSSE MAT Report v2
JA7542-7-5,5,2/07/2020,PSCAD RUG v5
JA7542-8-3,3,6/07/2020,PSCAD-PSS/E Model Benchmarking Report v3
JA7542-13-4,4,5/06/2020,Voltage Control Strategy v4
JA7542-11-3,3,3/04/2020,Design And Setting Datasheet v3
JA7542-12-2,-,-,Capability Curve
JA7542-14-0,0,27/03/2020,Power Quality Emissions Assessment Report v0
JA7542-15-0,0,29/04/2020,Technical note - Spike mitigation v0
JA7542-16-1,1,5/05/2020,Technical note - Unbalanced loading of 33 kV busbars v1
