Variable,Type,Description
PLCLCMD,Input,Active power reference for BESS in local mode (MW)
PRMTCMD,Input,Active power reference for BESS in remote mode (MW)  
FMEASD,Input,Measured frequency (Hz)
PMEASD,Input,Measured active power at remote branch/bus (MW)
PRMTFRMCMD,Input,Active power reference for firming mode (MW)
PLCCMD_ext,Input,Active power reference for the external project in local mode (MW)  
FSET_IO,Input,Frequency setpoint in island operation (Hz)
PREF,Output,Active power reference for BESS (pu) 
PREF_ext,Output,Active power reference for the external project (pu)  
TpfrzFlag,Output,VRT extra time delay freeze flag for PPC
FREF,Output,Frequency reference for BESS (Hz)
VCMD,Input,Voltage reference for a bus/branch (pu)
VSETPOINT,Input,Voltage set point for voltage droop control (pu)
VMEAS_LCL,Input,Measured voltage at a local bus/branch (pu)
VMEAS_RMT,Input,Measured voltage at a remote bus/branch (pu)
PFCMD,Input,Power factor reference for a bus/branch (pu)
PMEAS_LCL,Input,Measured active power at a local bus/branch (MW)
QMEAS_LCL,Input,Measured reactive power at a local bus/branch (MVAr)
QMEAS_RMT,Input,Measured reactive power at a remote bus/branch (MVAr)
QRMTCMD,Input,Reactive power reference for a remote bus/branch (MVAr)
QLCLCMD,Input,Reactive power reference for a local bus/branch (MVAr)
QLCLCMD_ext,Input,Reactive power reference for the external project (MVAr)
VSET_IO,Input,Voltage reference in island operation (pu)
VRTFlag,Output,Voltage ride-through flag  
QREF_int,Output,Reactive power reference for BESS (pu)  
QREF_ext,Output,Reactive power reference for the external project (pu)  
VARS,Output,Array of values matching the PSSE FLNCPPC VARS
STATES,Output,Array of values matching the PSSE FLNCPPC STATES
VREF,Output,Voltage reference for BESS (pu)
MONITORING,Output,Provides the PCS control mode
