Test No,Subtest No,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
1,1,0,1.834,1.904,1.586
1,2,0,2.032,1.941,1.778
2,1,0,1.816,1.809,1.577
2,2,0,2.006,2.009,1.696
3,1,0,1.824,1.832,1.571
3,2,0,1.938,1.937,1.76
4,1,0,1.815,1.797,1.59
4,2,0,1.935,1.934,1.676
5,1,0,2.004,2.009,1.609
5,2,0,2.004,2.009,1.609
6,1,0,2.189,2.009,1.65
6,2,0,2.189,2.009,1.65
7,1,0,2.107,2.114,1.84
7,2,0,2.107,2.114,1.84
8,1,0,2.093,2.13,1.858
8,2,0,2.093,2.13,1.858
9,1,0,2.078,2.08,1.836
9,2,0,2.078,2.08,1.836
10,1,0,2.024,2.03,1.77
10,2,0,2.024,2.03,1.77
11,1,0,2.077,2.09,1.782
11,2,0,2.077,2.09,1.782
12,1,0,2.259,2.26,1.839
12,2,0,2.259,2.26,1.839
