Test No,Subtest No,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
1,1,0,0.737,0.738,0.721
1,2,0,0.65,0.73,0.635
2,1,0,0.643,0.736,0.628
2,2,0,0.619,0.646,0.555
3,1,0,0.74,0.744,0.727
3,2,0,0.693,0.743,0.656
4,1,0,0.641,0.732,0.629
4,2,0,0.627,0.705,0.596
5,1,0,0.645,0.648,0.63
5,2,0,0.635,0.642,0.596
6,1,0,0.735,0.728,0.668
6,2,0,0.649,0.729,0.637
7,1,0,0.74,0.747,0.643
7,2,0,0.643,0.74,0.631
8,1,0,0.737,0.742,0.721
8,2,0,0.667,0.741,0.634
9,1,0,0.842,0.932,0.741
9,2,0,1.069,0.039,0.01
10,1,0,0.738,0.745,0.634
10,2,0,1.305,0.043,0.008
11,1,0,0.755,0.835,0.668
11,2,0,1.194,0.039,0.01
12,1,0,0.736,0.848,0.671
12,2,0,1.422,0.047,0.009
CSR_Vdroop_VgridSteps_011p1_FL2261.54_X2R6.262478_P1_Q-1_V1.015,0,0.703,0.001,0.593,-78.10206788
CSR_Vdroop_VgridSteps_011p1_FL2261.54_X2R6.262478_P1_Q-1_V1.015,0,0.598,0,0.007,-108.9419869
CSR_Vdroop_VgridSteps_011p2_FL1975.86_X2R6.250782_P1_Q-1_V1.015,0,0.649,0.006,0.573,-80.94289917
CSR_Vdroop_VgridSteps_011p2_FL1975.86_X2R6.250782_P1_Q-1_V1.015,0,0.842,0,0.007,-108.7096188
CSR_Vdroop_VgridSteps_012p1_FL2261.54_X2R6.262478_P-1_Q-1_V1.015,0,0.734,0,0.647,-76.23747775
CSR_Vdroop_VgridSteps_012p1_FL2261.54_X2R6.262478_P-1_Q-1_V1.015,0,0.543,0,0.008,-109.0602011
CSR_Vdroop_VgridSteps_012p2_FL1975.86_X2R6.250782_P-1_Q-1_V1.015,0,0.725,0,0.574,-79.92567767
CSR_Vdroop_VgridSteps_012p2_FL1975.86_X2R6.250782_P-1_Q-1_V1.015,0,0.79,0,0.007,-108.9761674
