Test No,Subtest No,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
1,1,0,0.747,0.744,0.603
1,2,0,0.743,0.738,0.6
2,1,0,0.832,0.83,0.63
2,2,0,0.752,0.746,0.603
3,1,0,0.738,0.734,0.594
3,2,0,0.661,0.643,0.505
4,1,0,0.842,0.839,0.697
4,2,0,0.805,0.809,0.609
5,1,0,1.637,1.63,1.482
5,2,0,1.361,1.344,1.187
6,1,0,1.493,1.496,1.287
6,2,0,1.342,1.339,1.183
7,1,0,0.76,0.748,0.606
7,2,0,0.722,0.73,0.567
8,1,0,0.833,0.832,0.636
8,2,0,0.827,0.83,0.605
9,1,0,0.732,0.722,0.587
9,2,0,0.739,0.644,0.529
10,1,0,0.849,0.837,0.701
10,2,0,0.812,0.749,0.633
11,1,0,1.712,1.649,1.487
11,2,0,1.436,1.435,1.22
12,1,0,1.444,1.441,1.277
12,2,0,1.32,1.319,1.115
