Name,Initial Vpoc (pu),Stepped Voltage (pu),Most Severe Band,Final Band,Most Severe Undervoltage (pu),Most Severe Overvoltage (pu),Final Voltage (pu)
CSR_CUO_001_FL-1_X2R-1_P1_Q1_V1,1.0,0.9,Continuous,Continuous,0.9413773027423011,1.024384909772517,0.9509826898793983
CSR_CUO_002_FL-1_X2R-1_P1_Q-1_V1,1.0,0.9,Continuous,Continuous,0.9289504444544197,1.0094915091444143,1.0088457555924073
CSR_CUO_003_FL-1_X2R-1_P1_Q0_V1,1.0,0.9,Continuous,Continuous,0.9648719613495328,1.0066302562691523,0.9884433699192331
CSR_CUO_004_FL-1_X2R-1_P1_Q1_V1,1.0,1.1,Continuous,Continuous,0.9812251989555483,1.0640840825008575,0.9818129604609852
CSR_CUO_005_FL-1_X2R-1_P1_Q-1_V1,1.0,1.1,Continuous,Continuous,0.9717479011892148,1.0759229969981459,1.0604965534087418
CSR_CUO_006_FL-1_X2R-1_P1_Q0_V1,1.0,1.1,Continuous,Continuous,1.0054716941710178,1.050218382197121,1.0328862463568795
CSR_CUO_007_FL-1_X2R-1_P-1_Q1_V1,1.0,0.9,Continuous,Continuous,0.93302011893664,1.0190021326884142,0.9429946528023715
CSR_CUO_008_FL-1_X2R-1_P-1_Q-1_V1,1.0,0.9,Continuous,Continuous,0.9261355267423014,1.0041130592957475,1.003573573926733
CSR_CUO_009_FL-1_X2R-1_P-1_Q0_V1,1.0,0.9,Continuous,Continuous,0.948790479697504,0.9906238516893091,0.9720359730417971
CSR_CUO_010_FL-1_X2R-1_P-1_Q1_V1,1.0,1.1,Continuous,Continuous,0.9772648302281997,1.0597649573178394,0.977785265702607
CSR_CUO_011_FL-1_X2R-1_P-1_Q-1_V1,1.0,1.1,Continuous,Continuous,0.9684746333910764,1.0755400662965018,1.0595758737833194
CSR_CUO_012_FL-1_X2R-1_P-1_Q0_V1,1.0,1.1,Continuous,Continuous,0.9893383179071555,1.0335140755578338,1.0173378745970942
