Name,Step No,Vpoc (pu),Vref (pu),Verr (pu),Qpoc (MVAr)
DMAT-CRG_3210_VgridSteps_155p1_FL2680_X2R14_P-1_Q0_V1.015,1,1.0142290977733128,1.015,-0.0007709022266870758,1.8524609718785656
DMAT-CRG_3210_VgridSteps_155p1_FL2680_X2R14_P-1_Q0_V1.015,2,1.041275316713649,1.015,0.026275316713649133,-69.41424962517613
DMAT-CRG_3210_VgridSteps_155p1_FL2680_X2R14_P-1_Q0_V1.015,3,1.0143738612603221,1.015,-0.0006261387396777618,1.5486381969508163
DMAT-CRG_3210_VgridSteps_155p1_FL2680_X2R14_P-1_Q0_V1.015,4,0.9882088890755089,1.015,-0.026791110924491046,70.46028248362951
DMAT-CRG_3210_VgridSteps_155p1_FL2680_X2R14_P-1_Q0_V1.015,5,1.0144007249324947,1.015,-0.0005992750675052338,1.6391158882372778
DMAT-CRG_3210_VgridSteps_155p2_FL2680_X2R3_P-1_Q0_V1.015,1,1.0150117045584033,1.015,1.170455840338036e-05,-0.11717098785496077
DMAT-CRG_3210_VgridSteps_155p2_FL2680_X2R3_P-1_Q0_V1.015,2,1.0439532258215425,1.015,0.028953225821542583,-76.47756605456229
DMAT-CRG_3210_VgridSteps_155p2_FL2680_X2R3_P-1_Q0_V1.015,3,1.01503423680226,1.015,3.42368022601125e-05,-0.08242235522574023
DMAT-CRG_3210_VgridSteps_155p2_FL2680_X2R3_P-1_Q0_V1.015,4,0.9870212174186542,1.015,-0.027978782581345674,74.34920978515053
DMAT-CRG_3210_VgridSteps_155p2_FL2680_X2R3_P-1_Q0_V1.015,5,1.0150193535904823,1.015,1.9353590482440453e-05,-0.09190820128830804
DMAT-CRG_3210_VgridSteps_156p1_FL2680_X2R14_P-0.05_Q0_V1.015,1,1.0151212638164901,1.015,0.00012126381649024687,-0.14576932531703063
DMAT-CRG_3210_VgridSteps_156p1_FL2680_X2R14_P-0.05_Q0_V1.015,2,1.041242596786364,1.015,0.026242596786364203,-68.9201697468803
DMAT-CRG_3210_VgridSteps_156p1_FL2680_X2R14_P-0.05_Q0_V1.015,3,1.0151554373685392,1.015,0.0001554373685392907,-0.1273734860518209
DMAT-CRG_3210_VgridSteps_156p1_FL2680_X2R14_P-0.05_Q0_V1.015,4,0.9896395476377556,1.015,-0.025360452362244268,67.13946543398397
DMAT-CRG_3210_VgridSteps_156p1_FL2680_X2R14_P-0.05_Q0_V1.015,5,1.0151140366968099,1.015,0.00011403669680998263,-0.15207099765680598
DMAT-CRG_3210_VgridSteps_156p2_FL2680_X2R3_P-0.05_Q0_V1.015,1,1.0152715578999203,1.015,0.0002715578999203938,-0.40335656740174924
DMAT-CRG_3210_VgridSteps_156p2_FL2680_X2R3_P-0.05_Q0_V1.015,2,1.0419400171031143,1.015,0.026940017103114444,-71.21225526650733
DMAT-CRG_3210_VgridSteps_156p2_FL2680_X2R3_P-0.05_Q0_V1.015,3,1.01522614935481,1.015,0.00022614935481013454,-0.6219039786096162
DMAT-CRG_3210_VgridSteps_156p2_FL2680_X2R3_P-0.05_Q0_V1.015,4,0.9891249312896268,1.015,-0.02587506871037315,68.5682919641128
DMAT-CRG_3210_VgridSteps_156p2_FL2680_X2R3_P-0.05_Q0_V1.015,5,1.01528272298952,1.015,0.0002827229895201455,-0.4733829654722478
DMAT-CRG_3210_VgridSteps_157p1_FL804_X2R14_P-1_Q0_V1.015,1,1.01445303927574,1.015,-0.0005469607242598595,1.6984802100464051
DMAT-CRG_3210_VgridSteps_157p1_FL804_X2R14_P-1_Q0_V1.015,2,1.0285306495636248,1.015,0.01353064956362493,-35.89610060039569
DMAT-CRG_3210_VgridSteps_157p1_FL804_X2R14_P-1_Q0_V1.015,3,1.014964541186625,1.015,-3.545881337485568e-05,1.8914664396339438
DMAT-CRG_3210_VgridSteps_157p1_FL804_X2R14_P-1_Q0_V1.015,4,1.0001676519136422,1.015,-0.014832348086357694,39.19664524999476
DMAT-CRG_3210_VgridSteps_157p1_FL804_X2R14_P-1_Q0_V1.015,5,1.0143928034594067,1.015,-0.0006071965405931579,1.659484915854953
DMAT-CRG_3210_VgridSteps_157p2_FL804_X2R3_P-1_Q0_V1.015,1,1.0151013875577555,1.015,0.00010138755775557229,0.7537965995924787
DMAT-CRG_3210_VgridSteps_157p2_FL804_X2R3_P-1_Q0_V1.015,2,1.0316988108896104,1.015,0.01669881088961045,-44.11944771459475
DMAT-CRG_3210_VgridSteps_157p2_FL804_X2R3_P-1_Q0_V1.015,3,1.0148840390385998,1.015,-0.00011596096140009671,0.6458388715156633
DMAT-CRG_3210_VgridSteps_157p2_FL804_X2R3_P-1_Q0_V1.015,4,0.9981366290206618,1.015,-0.0168633709793381,44.59819909396517
DMAT-CRG_3210_VgridSteps_157p2_FL804_X2R3_P-1_Q0_V1.015,5,1.014754402210123,1.015,-0.00024559778987698344,0.6006895151356946
DMAT-CRG_3210_VgridSteps_158p1_FL804_X2R14_P-0.05_Q0_V1.015,1,1.0152811383051454,1.015,0.00028113830514553406,-0.3877998597542465
DMAT-CRG_3210_VgridSteps_158p1_FL804_X2R14_P-0.05_Q0_V1.015,2,1.0272732739509143,1.015,0.012273273950914376,-32.32242808235479
DMAT-CRG_3210_VgridSteps_158p1_FL804_X2R14_P-0.05_Q0_V1.015,3,1.0154677941199899,1.015,0.00046779411998998377,-0.08708302773572792
DMAT-CRG_3210_VgridSteps_158p1_FL804_X2R14_P-0.05_Q0_V1.015,4,1.002960716169516,1.015,-0.012039283830483916,31.048157613412975
DMAT-CRG_3210_VgridSteps_158p1_FL804_X2R14_P-0.05_Q0_V1.015,5,1.0152009184954753,1.015,0.00020091849547543283,-0.38255069187665475
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,1,1.0150505595186212,1.015,5.0559518621318134e-05,0.27832868507481867
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,2,1.0276065134956474,1.015,0.012606513495647453,-33.25600399673883
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,3,1.015061262978017,1.015,6.126297801700709e-05,0.2856587573220904
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,4,1.0022464708713748,1.015,-0.012753529128625152,33.059157533322306
DMAT-CRG_3210_VgridSteps_158p2_FL804_X2R3_P-0.05_Q0_V1.015,5,1.0151205548941495,1.015,0.00012055489414963816,0.27015862734341034
DMAT-CRG_3210_VgridSteps_159p1_FL1975.86_X2R6.250782_P-1_Q0_V1.015,1,1.0152539550504147,1.015,0.00025395505041481137,-0.46699661817128274
