Name,Ppoc Settling Time (s),Qpoc Settling Time (s),Vpoc Settling TIme (s),Ppoc Rise Time (s),Qpoc Rise Time (s),Vpoc Rise Time (s)
CSR_52513_CSRPFrefSteps_001p1,2.3348,0.8073,0.7945,0.001,0.2043,0.1835
CSR_52513_CSRPFrefSteps_001p1,2.1143,0.9095,0.8795,0.0008,0.163,0.1623
CSR_52513_CSRPFrefSteps_001p2,2.1143,0.9095,0.8795,0.0008,0.163,0.1623
CSR_52513_CSRPFrefSteps_002p1,2.1438,0.7285,0.7153,0.007,0.155,0.151
CSR_52513_CSRPFrefSteps_002p1,2.263,0.9335,0.91,0.0008,0.165,0.1635
CSR_52513_CSRPFrefSteps_002p2,2.1438,0.7285,0.7153,0.007,0.155,0.151
CSR_52513_CSRPFrefSteps_002p2,2.263,0.9335,0.91,0.0008,0.165,0.1635
CSR_52513_CSRPFrefSteps_003p1,2.079,0.709,0.7028,0,0.1438,0.0963
CSR_52513_CSRPFrefSteps_003p1,2.1978,0.8885,0.8718,0,0.1618,0.1608
CSR_52513_CSRPFrefSteps_003p2,2.079,0.709,0.7028,0,0.1438,0.0963
CSR_52513_CSRPFrefSteps_003p2,2.1978,0.8885,0.8718,0,0.1618,0.1608
CSR_52513_CSRPFrefSteps_004p1,1.9975,1.1268,1.117,0,0.152,0.0993
CSR_52513_CSRPFrefSteps_004p1,2.0588,0.8888,0.873,0,0.1618,0.161
CSR_52513_CSRPFrefSteps_004p2,1.9975,1.1268,1.117,0,0.152,0.0993
CSR_52513_CSRPFrefSteps_004p2,2.0588,0.8888,0.873,0,0.1618,0.161
CSR_52513_CSRPFrefSteps_005p1,2.0385,0.7065,0.6913,0,0.101,0.0908
CSR_52513_CSRPFrefSteps_005p1,2.1378,0.8685,0.8605,0,0.1248,0.095
CSR_52513_CSRPFrefSteps_005p2,2.0385,0.7065,0.6913,0,0.101,0.0908
CSR_52513_CSRPFrefSteps_005p2,2.1378,0.8685,0.8605,0,0.1248,0.095
CSR_52513_CSRPFrefSteps_006p1,1.9738,0.708,0.7025,0.0013,0.1005,0.0905
CSR_52513_CSRPFrefSteps_006p1,2.0648,0.873,0.8698,0.0015,0.122,0.0943
CSR_52513_CSRPFrefSteps_006p2,1.9738,0.708,0.7025,0.0013,0.1005,0.0905
CSR_52513_CSRPFrefSteps_006p2,2.0648,0.873,0.8698,0.0015,0.122,0.0943
CSR_52513_CSRPFrefSteps_007p1,1.954,0.792,0.7888,0.0005,0.159,0.1575
CSR_52513_CSRPFrefSteps_007p1,2.1833,0.9488,0.9448,0,0.1793,0.1673
CSR_52513_CSRPFrefSteps_007p2,1.954,0.792,0.7888,0.0005,0.159,0.1575
CSR_52513_CSRPFrefSteps_007p2,2.1833,0.9488,0.9448,0,0.1793,0.1673
CSR_52513_CSRPFrefSteps_008p1,2.2543,0.7885,0.7835,0.008,0.1615,0.1603
CSR_52513_CSRPFrefSteps_008p1,2.3935,0.9523,0.9505,0.008,0.1868,0.1713
CSR_52513_CSRPFrefSteps_008p2,2.2543,0.7885,0.7835,0.008,0.1615,0.1603
CSR_52513_CSRPFrefSteps_008p2,2.3935,0.9523,0.9505,0.008,0.1868,0.1713
CSR_52513_CSRPFrefSteps_009p1,2.1785,0.7295,0.7145,0,0.159,0.1573
CSR_52513_CSRPFrefSteps_009p1,2.3378,0.911,0.8773,0,0.1808,0.1683
CSR_52513_CSRPFrefSteps_009p2,2.1785,0.7295,0.7145,0,0.159,0.1573
CSR_52513_CSRPFrefSteps_009p2,2.3378,0.911,0.8773,0,0.1808,0.1683
CSR_52513_CSRPFrefSteps_010p1,1.9973,1.107,1.1063,0,0.1583,0.1563
CSR_52513_CSRPFrefSteps_010p1,2.1393,0.914,0.8798,0,0.1768,0.166
CSR_52513_CSRPFrefSteps_010p2,1.9973,1.107,1.1063,0,0.1583,0.1563
CSR_52513_CSRPFrefSteps_010p2,2.1393,0.914,0.8798,0,0.1768,0.166
CSR_52513_CSRPFrefSteps_011p1,2.1585,0.7145,0.7103,0,0.106,0.093
CSR_52513_CSRPFrefSteps_011p1,2.2588,0.872,0.8665,0,0.158,0.1545
CSR_52513_CSRPFrefSteps_011p2,2.1585,0.7145,0.7103,0,0.106,0.093
CSR_52513_CSRPFrefSteps_011p2,2.2588,0.872,0.8665,0,0.158,0.1545
CSR_52513_CSRPFrefSteps_012p1,2.0535,0.7348,0.7195,0.0015,0.108,0.0938
CSR_52513_CSRPFrefSteps_012p1,2.2138,0.925,0.9048,0.0013,0.16,0.1575
CSR_52513_CSRPFrefSteps_012p2,2.0535,0.7348,0.7195,0.0015,0.108,0.0938
CSR_52513_CSRPFrefSteps_012p2,2.2138,0.925,0.9048,0.0013,0.16,0.1575
