Name,Ppoc Settling Time (s),Qpoc Settling Time (s),Vpoc Settling TIme (s),Ppoc Rise Time (s),Qpoc Rise Time (s),Vpoc Rise Time (s)
CSR_52513_CSRQrefSteps_001p1,2.136,0.7315,0.717,0.0023,0.155,0.1518
CSR_52513_CSRQrefSteps_001p2,2.1755,0.786,0.781,0.0028,0.1593,0.158
CSR_52513_CSRQrefSteps_002p1,2.0945,0.755,0.7353,0.0068,0.155,0.151
CSR_52513_CSRQrefSteps_002p2,2.154,0.812,0.7978,0.0013,0.1615,0.1603
CSR_52513_CSRQrefSteps_003p1,2.018,0.714,0.71,0,0.1438,0.0963
CSR_52513_CSRQrefSteps_003p2,2.079,0.754,0.7253,0,0.1588,0.1568
CSR_52513_CSRQrefSteps_004p1,2.0973,0.7155,0.7113,0,0.152,0.0993
CSR_52513_CSRQrefSteps_004p2,2.1388,0.7498,0.72,0,0.1585,0.1568
CSR_52513_CSRQrefSteps_005p1,2.0575,0.7065,0.6913,0,0.101,0.0908
CSR_52513_CSRQrefSteps_005p2,2.1585,0.7145,0.7103,0,0.106,0.093
CSR_52513_CSRQrefSteps_006p1,1.993,0.7093,0.7043,0.0008,0.1008,0.0908
CSR_52513_CSRQrefSteps_006p2,2.0238,0.7465,0.7215,0.0008,0.109,0.094
CSR_52513_CSRQrefSteps_007p1,2.0088,0.731,0.7185,0,0.1563,0.1558
CSR_52513_CSRQrefSteps_007p2,2.082,0.7813,0.7828,0,0.16,0.1615
CSR_52513_CSRQrefSteps_008p1,2.1623,0.7878,0.7863,0,0.1568,0.1565
CSR_52513_CSRQrefSteps_008p2,2.2423,0.8635,0.865,0,0.169,0.1685
CSR_52513_CSRQrefSteps_009p1,2.0668,0.7113,0.7095,0.0003,0.148,0.1523
CSR_52513_CSRQrefSteps_009p2,2.1663,0.7348,0.72,0,0.159,0.1598
CSR_52513_CSRQrefSteps_010p1,2.0263,0.713,0.7115,0,0.1543,0.154
CSR_52513_CSRQrefSteps_010p2,2.106,0.734,0.7195,0,0.159,0.16
CSR_52513_CSRQrefSteps_011p1,2.005,0.7058,0.7023,0,0.1028,0.0923
CSR_52513_CSRQrefSteps_011p2,2.0655,0.7125,0.7113,0,0.1075,0.095
CSR_52513_CSRQrefSteps_012p1,2.0405,1.026,0.7105,0,0.1015,0.0915
CSR_52513_CSRQrefSteps_012p2,2.1605,0.7848,0.7848,0,0.11,0.0963
