Name,Iq Settling Time (s),Iq Rise Time (s),Ppoc Recovery Time (s),Enters FRT,Assessment
CSR_5255_CSRBalancedFaults_003_FL5591_X2R12.04_P1_Q1_V1.06,0.07,0.01375,0.13675,TRUE,Compliant
CSR_5255_CSRBalancedFaults_006_FL5591_X2R12.04_P0.05_Q1_V1.06,0.07,0,0.15825,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_003_FL5591_X2R12.04_P1_Q1_V1.06,0.06875,0.01,0.13675,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_018_FL3185_X2R11.24_P0.05_Q1_V1.06,0.06375,0.01125,0.18975,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_111_FL3185_X2R11.24_P1_Q1_V1.06,0.06375,0.01125,0.10025,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_135_FL3185_X2R11.24_P1_Q1_V1.06,0.06375,0.01125,0.14175,TRUE,Compliant
CSR_5255_CSRBalancedFaults_013_FL3185_X2R11.24_P1_Q0_V1.06,0.0625,0.01375,0.14,TRUE,Compliant
CSR_5255_CSRBalancedFaults_001_FL5591_X2R12.04_P1_Q0_V1.06,0.06125,0.01375,0.136,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_006_FL5591_X2R12.04_P0.05_Q1_V1.06,0.06125,0.01125,0.19925,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_102_FL5591_X2R12.04_P0.05_Q1_V1.06,0.06,0.01,0.12725,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_126_FL5591_X2R12.04_P0.05_Q1_V1.06,0.06,0.01,0.108,TRUE,Compliant
CSR_5255_CSRBalancedFaults_027_FL5591_X2R12.04_P1_Q1_V1.06,0.05875,0.015,0.13725,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_042_FL3185_X2R11.24_P0.05_Q1_V1.06,0.05875,0.01,0.2205,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_114_FL3185_X2R11.24_P0.05_Q1_V1.06,0.05875,0.01,0.12975,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_138_FL3185_X2R11.24_P0.05_Q1_V1.06,0.05875,0.01,0.2205,TRUE,Compliant
CSR_5255_CSRBalancedFaults_039_FL3185_X2R11.24_P1_Q1_V1.06,0.0575,0.01375,0.1425,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_054_FL5591_X2R12.04_P0.05_Q1_V1.06,0.0575,0.01125,0.10825,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_078_FL5591_X2R12.04_P0.05_Q1_V1.06,0.0575,0.01125,0.10825,TRUE,Compliant
CSR_5255_CSRBalancedFaults_016_FL3185_X2R11.24_P0.05_Q0_V1.06,0.05625,0.01375,0.15975,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_052_FL5591_X2R12.04_P0.05_Q0_V1.06,0.05625,0.0125,0.1945,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_076_FL5591_X2R12.04_P0.05_Q0_V1.06,0.05625,0.0125,0.1945,TRUE,Compliant
CSR_5255_CSRBalancedFaults_042_FL3185_X2R11.24_P0.05_Q1_V1.06,0.05625,0.01125,0.167,TRUE,Compliant
CSR_5255_CSRBalancedFaults_004_FL5591_X2R12.04_P0.05_Q0_V1.06,0.055,0.0125,0.156,TRUE,Compliant
CSR_5255_CSRBalancedFaults_030_FL5591_X2R12.04_P0.05_Q1_V1.06,0.055,0.01125,0.16575,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_051_FL5591_X2R12.04_P1_Q1_V1.06,0.05375,0.0125,0.13725,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_075_FL5591_X2R12.04_P1_Q1_V1.06,0.05375,0.0125,0.13725,TRUE,Compliant
CSR_5255_CSRBalancedFaults_002_FL5591_X2R12.04_P1_Q-1_V1.06,0.0525,0.01375,0.1355,TRUE,Compliant
CSR_5255_CSRBalancedFaults_014_FL3185_X2R11.24_P1_Q-1_V1.06,0.0525,0.01375,0.1395,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_013_FL3185_X2R11.24_P1_Q0_V1.06,0.05125,0.0125,0.14125,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_112_FL3185_X2R11.24_P0.05_Q0_V1.06,0.05125,0.01125,0.12225,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_124_FL5591_X2R12.04_P0.05_Q0_V1.06,0.05125,0.01125,0.18525,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_136_FL3185_X2R11.24_P0.05_Q0_V1.06,0.05125,0.01125,0.1875,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_030_FL5591_X2R12.04_P0.05_Q1_V1.06,0.05125,0.01,0.1165,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_049_FL5591_X2R12.04_P1_Q0_V1.06,0.05,0.01375,0.137,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_073_FL5591_X2R12.04_P1_Q0_V1.06,0.05,0.01375,0.137,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_109_FL3185_X2R11.24_P1_Q0_V1.06,0.05,0.01375,0.10125,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_133_FL3185_X2R11.24_P1_Q0_V1.06,0.05,0.01375,0.141,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_001_FL5591_X2R12.04_P1_Q0_V1.06,0.05,0.0125,0.13625,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_016_FL3185_X2R11.24_P0.05_Q0_V1.06,0.05,0.0125,0.1775,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_101_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.05,0.0125,0.1105,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_113_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.05,0.0125,0.11375,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_121_FL5591_X2R12.04_P1_Q0_V1.06,0.05,0.0125,0.13575,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_125_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.05,0.0125,0.16425,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_137_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.05,0.0125,0.171,TRUE,Compliant
CSR_5255_CSRBalancedFaults_075_FL5591_X2R12.04_P1_Q1_V1.06,0.04875,0.01625,0.1345,TRUE,Compliant
CSR_5255_CSRBalancedFaults_005_FL5591_X2R12.04_P0.05_Q-1_V1.06,0.04875,0.01375,0.15525,TRUE,Compliant
CSR_5255_CSRBalancedFaults_017_FL3185_X2R11.24_P0.05_Q-1_V1.06,0.04875,0.01375,0.15825,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_004_FL5591_X2R12.04_P0.05_Q0_V1.06,0.04875,0.01125,0.17525,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_028_FL5591_X2R12.04_P0.05_Q0_V1.06,0.04875,0.01125,0.10825,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_040_FL3185_X2R11.24_P0.05_Q0_V1.06,0.04875,0.01125,0.19775,TRUE,Compliant
CSR_5255_CSRUnbalancedFaults_122_FL5591_X2R12.04_P1_Q-1_V1.06,0.0475,0.015,0.1355,TRUE,Compliant
