,Name,Fault Type,In-Fault Voltage Phase A (pu),In-Fault Voltage Phase B (pu),In-Fault Voltage Phase C (pu),In-Fault Max Phase Voltage (pu),In-Fault Min Phase Voltage (pu),Post-Fault Voltage Phase A (pu),Post-Fault Voltage Phase B (pu),Post-Fault Voltage Phase C (pu),Post-Fault Max Phase Voltage (pu),Post-Fault Min Phase Voltage (pu),Fault Level
0,CSR_5255_CSRBalancedFaults_001_FL5591_X2R12.04_P1_Q0_V1.06,3PhG,0.001233524349242349,0.0012335095804451941,0.00123346257286772,9999,9999,1.0741058486318944,1.1089882299373341,1.0931377944382668,1.1089882299373341,1.0741058486318944,5590.999999999999
1,CSR_5255_CSRBalancedFaults_002_FL5591_X2R12.04_P1_Q-1_V1.06,3PhG,0.0012579792093040418,0.0012579590981516987,0.001257913309199385,9999,9999,1.0895230046324296,1.1016414962800922,1.1020073232538492,1.1020073232538492,1.0895230046324296,5590.999999999999
2,CSR_5255_CSRBalancedFaults_003_FL5591_X2R12.04_P1_Q1_V1.06,3PhG,0.001211088100077647,0.0012110771123656917,0.0012110266184845442,9999,9999,1.064384876283746,1.10450834824116,1.0816475236896022,1.10450834824116,1.064384876283746,5590.999999999999
3,CSR_5255_CSRBalancedFaults_004_FL5591_X2R12.04_P0.05_Q0_V1.06,3PhG,0.0012355305445036163,0.0012355370408697434,0.001235478540771294,9999,9999,1.0667090502871026,1.0992211756987225,1.094866709613309,1.0992211756987225,1.0667090502871026,5590.999999999999
4,CSR_5255_CSRBalancedFaults_005_FL5591_X2R12.04_P0.05_Q-1_V1.06,3PhG,0.001260284840763662,0.0012602869915756345,0.0012602293524741296,9999,9999,1.0857156332971236,1.091073936421123,1.1019865927517045,1.1019865927517045,1.0857156332971236,5590.999999999999
5,CSR_5255_CSRBalancedFaults_006_FL5591_X2R12.04_P0.05_Q1_V1.06,3PhG,0.0012122353567623968,0.001212245701782951,0.001212184814491661,9999,9999,1.0601924179652737,1.099595243016469,1.0837444817459818,1.099595243016469,1.0601924179652737,5590.999999999999
6,CSR_5255_CSRBalancedFaults_007_FL5591_X2R12.04_P-1_Q0_V1.06,3PhG,0.0012358626656400536,0.0012358947182320207,0.0012358250502455149,9999,9999,1.0651584334064148,1.1002303720772277,1.0974302730172742,1.1002303720772277,1.0651584334064148,5590.999999999999
7,CSR_5255_CSRBalancedFaults_008_FL5591_X2R12.04_P-1_Q-1_V1.06,3PhG,0.0012594361130782085,0.0012594649683159362,0.0012593966607885583,9999,9999,1.0785669518092356,1.0966699804217412,1.10701797700891,1.10701797700891,1.0785669518092356,5590.999999999999
8,CSR_5255_CSRBalancedFaults_009_FL5591_X2R12.04_P-1_Q1_V1.06,3PhG,0.0012130436316021172,0.0012130789413576514,0.0012130080015066802,9999,9999,1.0644720144806914,1.1008569895734213,1.0868131115072637,1.1008569895734213,1.0644720144806914,5590.999999999999
9,CSR_5255_CSRBalancedFaults_010_FL5591_X2R12.04_P-0.05_Q0_V1.06,3PhG,0.0012353463083595209,0.0012353566724267186,0.0012352962263958002,9999,9999,1.0649696286663353,1.0988335487378829,1.0951618596572856,1.0988335487378829,1.0649696286663353,5590.999999999999
