Name,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Ppoc Rise Time (sec),Qpoc Rise Time (sec),Vpoc Rise Time (sec)
Test 1 p1,2.8775,0.6325,0.5265,0,0.603,0.058
Test 1 p2,2.63775,0.5465,0.4995,0,0.51975,0.04725
Test 2 p1,2.8125,0.62775,0.479,0,0.5985,0.06075
Test 2 p2,2.57325,0.534,0.48,0,0.507,0.04925
Test 3 p1,2.82375,0.635,0.5455,0,0.6055,0.0585
Test 3 p2,2.645,0.5465,0.53875,0,0.5195,0.048
Test 4 p1,2.8605,0.62825,0.4875,0,0.59875,0.061
Test 4 p2,2.64075,0.534,0.4975,0.0005,0.50675,0.04975
Test 5 p1,2.7095,0.59175,0.47625,0.00025,0.56575,0.06125
Test 5 p2,2.4965,0.53025,0.48175,0.00025,0.50625,0.0505
Test 6 p1,3.16425,0.733,0.38225,0,0.0025,0.36575
Test 6 p2,3.266,0.82475,0.5435,0,0.004,0.52575
Test 7 p1,2.8935,0.8085,0.23125,0,0.00125,0.21525
Test 7 p2,2.9335,0.87075,0.39675,0,0.00325,0.38
Test 8 p1,2.78,0.62325,0.49725,0,0.58925,0.05775
Test 8 p2,2.6405,0.5475,0.52675,0,0.51675,0.0475
Test 9 p1,2.813,0.5145,0.39625,0,0.48075,0.0575
Test 9 p2,1.8645,0.11475,0.12925,0,0.09875,0.11425
Test 10 p1,2.614,0.468,0.4185,0,0.4375,0.046
Test 10 p2,2.073,0.60825,0.14625,0,0.07625,0.131
Test 11 p1,2.9995,0.817,0.23125,0,0.0005,0.21525
Test 11 p2,1.31325,0.525,0.1055,0,0.504,0.09075
Test 12 p1,3.0385,0.87975,0.43925,0,0.0005,0.4225
Test 12 p2,1.30725,0.43325,0.107,0,0.41375,0.09225
