Name,Ppoc Settling Time (s),Qpoc Settling Time (s),Vpoc Settling TIme (s),Ppoc Rise Time (s),Qpoc Rise Time (s),Vpoc Rise Time (s)
CSR_52513_CSRVrefSteps_001p1,3.0538,0.6395,0.6205,0.0005,0.4325,0.4255
CSR_52513_CSRVrefSteps_001p2,2.9745,0.5908,0.5863,0.0008,0.3965,0.394
CSR_52513_CSRVrefSteps_002p1,3.1335,0.7173,0.702,0.0008,0.5103,0.5073
CSR_52513_CSRVrefSteps_002p2,2.914,0.593,0.5888,0.001,0.3988,0.3963
CSR_52513_CSRVrefSteps_003p1,2.8975,0.609,0.5948,0.0003,0.4118,0.401
CSR_52513_CSRVrefSteps_003p2,2.8375,0.577,0.5595,0.0005,0.383,0.3678
CSR_52513_CSRVrefSteps_004p1,3.0165,0.6628,0.6405,0.0003,0.4563,0.4463
CSR_52513_CSRVrefSteps_004p2,2.916,0.5905,0.5848,0.0003,0.3963,0.3928
CSR_52513_CSRVrefSteps_005p1,3.192,0.748,0.7408,0.0005,0.5565,0.552
CSR_52513_CSRVrefSteps_005p2,3.2768,0.81,0.7903,0.0008,0.6173,0.6
CSR_52513_CSRVrefSteps_006p1,3.1338,0.7358,0.7158,0.0003,0.5443,0.527
CSR_52513_CSRVrefSteps_006p2,3.354,0.8203,0.8133,0.0005,0.6273,0.6223
CSR_52513_CSRVrefSteps_007p1,2.9603,0.6375,0.6488,0,0.43,0.453
CSR_52513_CSRVrefSteps_007p2,2.8605,0.5883,0.5923,0,0.3953,0.3993
CSR_52513_CSRVrefSteps_008p1,3.1805,0.7773,0.7865,0,0.5703,0.591
CSR_52513_CSRVrefSteps_008p2,2.8818,0.6125,0.6305,0,0.4195,0.4375
CSR_52513_CSRVrefSteps_009p1,2.9448,0.607,0.5993,0,0.4108,0.4045
CSR_52513_CSRVrefSteps_009p2,2.8655,0.8275,0.582,0,0.3783,0.3895
CSR_52513_CSRVrefSteps_010p1,2.9853,0.6638,0.6643,0,0.457,0.4693
CSR_52513_CSRVrefSteps_010p2,2.8653,0.5888,0.5913,0,0.3958,0.3988
CSR_52513_CSRVrefSteps_011p1,3.144,0.7485,0.7508,0,0.558,0.5615
CSR_52513_CSRVrefSteps_011p2,3.244,0.8205,0.8265,0,0.629,0.6358
CSR_52513_CSRVrefSteps_012p1,3.3598,0.9753,0.9775,0,0.7848,0.788
CSR_52513_CSRVrefSteps_012p2,3.4405,0.9568,0.9783,0,0.765,0.7868
