Name,Initial Vpoc (pu),Stepped Voltage (pu),Most Severe Band,Final Band,Most Severe Undervoltage (pu),Most Severe Overvoltage (pu),Final Voltage (pu)
,0.0,-0.1,Continuous,Continuous,0.9460326918968056,1.0309080081546098,0.9586583568650754
,0.0,-0.1,Continuous,Continuous,0.9428145113109715,1.0297011181761118,1.025900906053425
,0.0,-0.1,Continuous,Continuous,0.9611197956931742,1.00815872952486,0.9953250154521998
,0.0,0.1,Continuous,Continuous,0.984696906393117,1.0726910248669932,0.9917714521190327
,0.0,0.1,Continuous,Continuous,0.9934897915288187,1.1063917197341337,1.0864218527515312
,0.0,0.1,Continuous,Continuous,1.005128386242998,1.0562657601542875,1.0303415455698368
,0.0,-0.1,Continuous,Continuous,0.9292372572062816,1.0154725680369836,0.9395718901593368
,0.0,-0.1,Continuous,Continuous,0.926463830387848,1.0218737898841377,1.0189295061662167
,0.0,-0.1,Continuous,Continuous,0.956280102174198,1.0043728278317547,0.9869277669366395
,0.0,0.1,Continuous,Continuous,0.9688727265617197,1.0574866503611182,0.97354122685277
,0.0,0.1,Continuous,Continuous,0.9774836941107761,1.0917265470595519,1.069671272090336
,0.0,0.1,Continuous,Continuous,1.0013343902727718,1.053805400459629,1.026446749222864
