Name,Study Type,Fault No,Initial pos seq iq (pu),Initial neg seq iq (pu),Initial V (pu),Last iq (pu),Last V (pu),Last Saturation Point Current (pu),Saturated,Grouped By,Delta iq pos seq (pu),Delta iq neg seq (pu),ABS(Delta neq2pos seq iq),Delta V (pu),Voltage threshold,Delta V (from threshold),diq over dv,Last pos seq iq (pu),fromthresh,Included By Voltage Range
Test 1,Faults,1,0.10064602727762217,,1.0056825894526853,,0.24665626785280534,1.2369956831663333,True,,0.9120946560542498,,,-0.7590263215998799,1,0.7533437321471946,1.21072840608175,1.012740683331872,0.7533437321471946,True
Test 2,Faults,1,-0.15901583244503184,,0.9906748772381838,,0.2464993911875713,1.295425306810968,True,,1.1703322789812867,,,-0.7441754860506125,1,0.7535006088124288,1.5531935413108884,1.0113164465362547,0.7535006088124288,True
Test 3,Faults,1,0.3710344443492409,,1.0498061540458956,,0.24700009519874275,1.2107803430873232,True,,0.6434315062713525,,,-0.8028060588471528,1,0.7529999048012572,0.8544908202095675,1.0144659506205933,0.7529999048012572,True
Test 4,Faults,1,-0.011595900934243267,,0.9945785070558837,,0.2462080309949204,1.2502166777175205,True,,1.0231075306834452,,,-0.7483704760609633,1,0.7537919690050796,1.35728101751181,1.011511629749202,0.7537919690050796,True
Test 5,Faults,1,-0.26435572486004955,,0.9825043169349613,,0.2462845728903039,1.3108172049545,True,,1.2754626053167328,,,-0.7362197440446574,1,0.7537154271096961,1.6922336460695815,1.0111068804566834,0.7537154271096961,True
Test 6,Faults,1,0.26373075859689793,,1.0272533758302955,,0.24661966042799208,1.2099098075904595,True,,0.7499392101444013,,,-0.7806337154023034,1,0.7533803395720079,0.9954324140850803,1.0136699687412993,0.7533803395720079,True
Test 7,Faults,1,0.09973768420069269,,0.998789949507375,,0.24663192565907838,1.250543547766414,True,,0.9123923605534949,,,-0.7521580238482966,1,0.7533680743409217,1.2110844507868141,1.0121300447541877,0.7533680743409217,True
Test 8,Faults,1,-0.16076608226993772,,0.9722736073760305,,0.24643398700949945,1.2947985057884726,True,,1.1716258470254861,,,-0.725839620366531,1,0.7535660129905005,1.5547753306653649,1.0108597647555484,0.7535660129905005,True
Test 9,Faults,1,0.37681412955588944,,1.032005740353996,,0.24701184503074072,1.2103862935585588,True,,0.6372565612079796,,,-0.7849938953232553,1,0.7529881549692593,0.846303566666325,1.014070690763869,0.7529881549692593,True
Test 10,Faults,1,-0.011298229874148793,,0.9936713107711783,,0.24620941298471985,1.2498547096214516,True,,1.0228200248721335,,,-0.7474618977864584,1,0.7537905870152801,1.3569020925587651,1.0115217949979847,0.7537905870152801,True
