Name,Step No,Vpoc (pu),Vref (pu),Verr (pu),Qpoc (MVAr)
CSR_52513_CSRVgridSteps_001p1_FL5591_X2R12.04_P1_Q0_V1.06,1,1.0600120898525276,1.06,1.2089852527541467e-05,-0.06068477251278007
CSR_52513_CSRVgridSteps_001p1_FL5591_X2R12.04_P1_Q0_V1.06,2,1.0245807490678722,1.06,-0.03541925093212783,99.64231394974003
CSR_52513_CSRVgridSteps_001p2_FL3185_X2R11.24_P1_Q0_V1.06,1,1.0600019097803124,1.06,1.909780312336906e-06,-0.0332892119917845
CSR_52513_CSRVgridSteps_001p2_FL3185_X2R11.24_P1_Q0_V1.06,2,1.0315296129077325,1.06,-0.02847038709226757,80.0936998497268
CSR_52513_CSRVgridSteps_002p1_FL5591_X2R12.04_P1_Q0_V1.06,1,1.0600120898525276,1.06,1.2089852527541467e-05,-0.06068477251278007
CSR_52513_CSRVgridSteps_002p1_FL5591_X2R12.04_P1_Q0_V1.06,2,1.096219790340697,1.06,0.03621979034069689,-101.95428296307003
CSR_52513_CSRVgridSteps_002p2_FL3185_X2R11.24_P1_Q0_V1.06,1,1.0600019097803124,1.06,1.909780312336906e-06,-0.0332892119917845
CSR_52513_CSRVgridSteps_002p2_FL3185_X2R11.24_P1_Q0_V1.06,2,1.0891778844512099,1.06,0.029177884451209835,-82.13866496553942
CSR_52513_CSRVgridSteps_003p1_FL5591_X2R12.04_P-1_Q0_V1.06,1,1.0598586636431164,1.06,-0.00014133635688362567,0.3684033665359337
CSR_52513_CSRVgridSteps_003p1_FL5591_X2R12.04_P-1_Q0_V1.06,2,1.0238806390600284,1.06,-0.0361193609399717,101.6190971093674
CSR_52513_CSRVgridSteps_003p2_FL3185_X2R11.24_P-1_Q0_V1.06,1,1.059838228521292,1.06,-0.00016177147870810593,0.4243349760980608
CSR_52513_CSRVgridSteps_003p2_FL3185_X2R11.24_P-1_Q0_V1.06,2,1.030536511362233,1.06,-0.029463488637767155,82.89483316149666
CSR_52513_CSRVgridSteps_004p1_FL5591_X2R12.04_P-1_Q0_V1.06,1,1.0598586636431164,1.06,-0.00014133635688362567,0.3684033665359337
CSR_52513_CSRVgridSteps_004p1_FL5591_X2R12.04_P-1_Q0_V1.06,2,1.0966102977898031,1.06,0.03661029778980307,-103.05400836128925
CSR_52513_CSRVgridSteps_004p2_FL3185_X2R11.24_P-1_Q0_V1.06,1,1.059838228521292,1.06,-0.00016177147870810593,0.4243349760980608
CSR_52513_CSRVgridSteps_004p2_FL3185_X2R11.24_P-1_Q0_V1.06,2,1.0898427543379878,1.06,0.029842754337987776,-84.00587869536974
CSR_52513_CSRVgridSteps_005p1_FL5591_X2R12.04_P1_Q-1_V1.06,1,1.0600107258339673,1.02,0.04001072583396725,-112.60320240242282
CSR_52513_CSRVgridSteps_005p1_FL5591_X2R12.04_P1_Q-1_V1.06,2,1.0234976862297624,1.02,0.003497686229762431,-9.875158030012432
CSR_52513_CSRVgridSteps_005p2_FL3185_X2R11.24_P1_Q-1_V1.06,1,1.060067334495756,1.02,0.04006733449575606,-112.59928234936828
CSR_52513_CSRVgridSteps_005p2_FL3185_X2R11.24_P1_Q-1_V1.06,2,1.0301579243659402,1.02,0.010157924365940207,-28.617427753326655
CSR_52513_CSRVgridSteps_006p1_FL5591_X2R12.04_P-1_Q-1_V1.06,1,1.0598828332423278,1.02,0.039882833242327775,-112.2736283433215
CSR_52513_CSRVgridSteps_006p1_FL5591_X2R12.04_P-1_Q-1_V1.06,2,1.115301879003119,1.02,0.09530187900311904,-112.59626567818111
CSR_52513_CSRVgridSteps_006p2_FL3185_X2R11.24_P-1_Q-1_V1.06,1,1.0597962811677668,1.02,0.03979628116776679,-112.01787625047479
CSR_52513_CSRVgridSteps_006p2_FL3185_X2R11.24_P-1_Q-1_V1.06,2,1.1173355318379803,1.02,0.09733553183798027,-112.5963843958968
CSR_52513_CSRVgridSteps_007p1_FL5591_X2R12.04_P1_Q1_V1.06,1,1.0600120718342236,1.1,-0.039987928165776454,112.50975724054054
CSR_52513_CSRVgridSteps_007p1_FL5591_X2R12.04_P1_Q1_V1.06,2,1.00910884494388,1.1,-0.09089115505612,112.55649222773626
CSR_52513_CSRVgridSteps_007p2_FL3185_X2R11.24_P1_Q1_V1.06,1,1.0600773027015864,1.1,-0.03992269729841369,112.33952250797535
CSR_52513_CSRVgridSteps_007p2_FL3185_X2R11.24_P1_Q1_V1.06,2,1.0105098421634788,1.1,-0.08949015783652126,112.55740367510215
CSR_52513_CSRVgridSteps_008p1_FL5591_X2R12.04_P-1_Q1_V1.06,1,1.0598258422347258,1.1,-0.04017415776527433,112.54519503170006
CSR_52513_CSRVgridSteps_008p1_FL5591_X2R12.04_P-1_Q1_V1.06,2,1.0955582512830022,1.1,-0.004441748716997873,12.479088160910996
CSR_52513_CSRVgridSteps_008p2_FL3185_X2R11.24_P-1_Q1_V1.06,1,1.059667672954939,1.1,-0.04033232704506107,112.5474074837756
CSR_52513_CSRVgridSteps_008p2_FL3185_X2R11.24_P-1_Q1_V1.06,2,1.0884226346732997,1.1,-0.011577365326700395,32.56138021528307
CSR_52513_CSRVgridSteps_009p1_FL5591_X2R12.04_P1_Q1_V1.06,1,1.0600120718342236,1.1,-0.039987928165776454,112.50975724054054
CSR_52513_CSRVgridSteps_009p1_FL5591_X2R12.04_P1_Q1_V1.06,2,1.077483154131274,1.1,-0.022516845868726154,63.349926266552295
CSR_52513_CSRVgridSteps_009p1_FL5591_X2R12.04_P1_Q1_V1.06,3,1.009108498537451,1.1,-0.0908915014625491,112.55266995289827
CSR_52513_CSRVgridSteps_009p2_FL3185_X2R11.24_P1_Q1_V1.06,1,1.0600773027015864,1.1,-0.03992269729841369,112.33952250797535
CSR_52513_CSRVgridSteps_009p2_FL3185_X2R11.24_P1_Q1_V1.06,2,1.0738816025303428,1.1,-0.026118397469657273,73.48687277751198
CSR_52513_CSRVgridSteps_009p2_FL3185_X2R11.24_P1_Q1_V1.06,3,1.0105094155158179,1.1,-0.08949058448418223,112.55410186033268
CSR_52513_CSRVgridSteps_010p1_FL5591_X2R12.04_P-1_Q1_V1.06,1,1.0598258422347258,1.1,-0.04017415776527433,112.54519503170006
CSR_52513_CSRVgridSteps_010p1_FL5591_X2R12.04_P-1_Q1_V1.06,2,1.03395194476835,1.1,-0.06604805523165003,112.55003110858279
CSR_52513_CSRVgridSteps_010p1_FL5591_X2R12.04_P-1_Q1_V1.06,3,1.0776277885969827,1.1,-0.022372211403017372,62.93881254081269
CSR_52513_CSRVgridSteps_010p2_FL3185_X2R11.24_P-1_Q1_V1.06,1,1.059667672954939,1.1,-0.04033232704506107,112.5474074837756
CSR_52513_CSRVgridSteps_010p2_FL3185_X2R11.24_P-1_Q1_V1.06,2,1.0340720741561802,1.1,-0.0659279258438199,112.55385371825751
CSR_52513_CSRVgridSteps_010p2_FL3185_X2R11.24_P-1_Q1_V1.06,3,1.0740388577104272,1.1,-0.025961142289572914,73.0418196891169
CSR_52513_CSRVgridSteps_011p1_FL5591_X2R12.04_P1_Q-1_V1.06,1,1.0600107258339673,1.02,0.04001072583396725,-112.60320240242282
CSR_52513_CSRVgridSteps_011p1_FL5591_X2R12.04_P1_Q-1_V1.06,2,1.0873650243335837,1.02,0.06736502433358371,-112.60945388993183
CSR_52513_CSRVgridSteps_011p1_FL5591_X2R12.04_P1_Q-1_V1.06,3,1.02349790826286,1.02,0.0034979082628598945,-9.875409710811859
CSR_52513_CSRVgridSteps_011p2_FL3185_X2R11.24_P1_Q-1_V1.06,1,1.060067334495756,1.02,0.04006733449575606,-112.59928234936828
CSR_52513_CSRVgridSteps_011p2_FL3185_X2R11.24_P1_Q-1_V1.06,2,1.0882113491340137,1.02,0.06821134913401372,-112.60478432693374
CSR_52513_CSRVgridSteps_011p2_FL3185_X2R11.24_P1_Q-1_V1.06,3,1.0301583358479764,1.02,0.01015833584797643,-28.612912179133758
CSR_52513_CSRVgridSteps_012p1_FL5591_X2R12.04_P-1_Q-1_V1.06,1,1.0598828332423278,1.02,0.039882833242327775,-112.2736283433215
CSR_52513_CSRVgridSteps_012p1_FL5591_X2R12.04_P-1_Q-1_V1.06,2,1.0412532394816758,1.02,0.02125323948167579,-59.83784819171933
CSR_52513_CSRVgridSteps_012p1_FL5591_X2R12.04_P-1_Q-1_V1.06,3,1.087582509561426,1.02,0.06758250956142597,-112.59475688612069
CSR_52513_CSRVgridSteps_012p2_FL3185_X2R11.24_P-1_Q-1_V1.06,1,1.0597962811677668,1.02,0.03979628116776679,-112.01787625047479
CSR_52513_CSRVgridSteps_012p2_FL3185_X2R11.24_P-1_Q-1_V1.06,2,1.04435678259162,1.02,0.024356782591619996,-68.56945282174863
CSR_52513_CSRVgridSteps_012p2_FL3185_X2R11.24_P-1_Q-1_V1.06,3,1.088518434189477,1.02,0.0685184341894769,-112.59416458224938
