Name,Parameter
3 Phase Transformer MVA,160/80/80 [MVA]
Positive Sequence Leakage Reactance (\#1-\#2),0.25 [pu] on 160 MVA rating
Positive Sequence Leakage Reactance (\#1-\#3),0.5 [pu] on 160 MVA rating
Positive Sequence Leakage Reactance (\#2-\#3),0.25 [pu] on 160 MVA rating
Copper Losses (\#1-\#2),0.0055436 [pu]
Copper Losses (\#1-\#3),0.0110872 [pu]
Copper Losses (\#2-\#3),0.0055436 [pu]
Winding 1 Line to Line Voltage (RMS) (V1),33.0 [kV]
Winding 2 Line to Line Voltage (RMS) (V2),275.0 [kV]
Winding 3 Line to Line Voltage (RMS) (V3),33.0 [kV]
