DocNumber,Revision,Date,Document,Short Name,Bibliography
-,-,31/07/2024,Lower Wonga Solar Farm 5.3.4A Letter,534a-letter,\bibitem{534a-letter}5.3.4A Letter
-,0,30/07/2024,Lower Wonga SF Generator Performance Standards,agreed-gps-v0,\bibitem{agreed-gps-v0}Generator Perormance Standards
LWSF-LSBP-RP-0103-1,1,31/10/2023,PSCAD Dynamic Model Acceptance Test Report,pscad-dmat-v1,\bibitem{pscad-dmat-v1}PSCAD Dynamic Model Acceptance Test Report
LWSF-LSBP-RP-0103-8,8,19/07/2024,PSCAD Releasable User Guide,pscad-rug-v8,\bibitem{pscad-rug-v8}PSCAD Releasable User Guide
LWSF-LSBP-RP-0101-5,5,19/07/2024,PSS/E Releasable User Guide,psse-rug-v5,\bibitem{psse-rug-v5}PSS/E Releasable User Guide
LWSF-LSBP-RP-0102-1,1,3/11/2023,PSSE Dynamic Model Acceptance Test Report,psse-dmat-v1,\bibitem{psse-dmat-v1}PSSE Dynamic Model Acceptance Test Report
LWSF-LSBP-RP-0104-4,4,19/07/2024,Connection Study R0 Report,csr-v4,\bibitem{csr-v4}Connection Study R0 Report
LWSF-LSBP-RP-0110-1,1,4/12/2023,Harmonic Study Report,hsr-v1,\bibitem{hsr-v1}Harmonic Study Report
LWSF-LSBP-RP-0101-7,7,19/07/2024,Voltage Control Strategy,vcs-v7,\bibitem{vcs-v7}Voltage Control Strategy
-,-,19/07/2024,LWSF commitments post R1,r1-commitments,\bibitem{r1-commitments}LWSF commitments post R1
SF-CA-2024-07-18,6,17/07/2024,LWSF AEMO issues tracker,aemo-issues-tracker-v6,\bibitem{aemo-issues-tracker-v6}LWSF AEMO issues tracker
LWSF-LSBP-RP-0104-0,0,20/07/2023,PSS/E PSCAD DMAT Benchmarking Report,benchmarking-v0,\bibitem{benchmarking-v0}PSS/E PSCAD DMAT Benchmarking Report
