Test Num,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
Test 1 p1,NA,1.288,1.294,1.18
Test 1 p2,NA,1.315,1.317,1.209
Test 2 p1,NA,2.444,1.188,1.092
Test 2 p2,NA,3.284,3.244,1.176
Test 3 p1,NA,1.198,1.175,1.099
Test 3 p2,NA,3.187,3.084,1.049
Test 4 p1,NA,1.224,1.217,1.117
Test 4 p2,NA,1.264,1.248,1.145
Test 7 p1,NA,1.309,1.3,1.206
Test 7 p2,NA,1.342,2.923,1.24
Test 8 p1,NA,1.21,1.204,1.114
Test 8 p2,NA,3.253,3.293,1.147
Test 9 p1,NA,1.166,1.147,1.067
Test 9 p2,NA,3.289,3.261,1.082
Test 10 p1,NA,1.253,1.235,1.15
Test 10 p2,NA,1.279,2.808,1.175
