Fault Type,Test Num,Iq Settling Time (sec),Iq Rise Time (sec),Iq Neg Settling Time (sec),Iq Neg Rise Time (sec),Ppoc Recovery Time (sec),Assessment
Balanced Fault,Test 1,0.051,0.008,0.065,0.013,0.116,Compliant
Balanced Fault,Test 2,0.049,0.008,0.065,0,0.117,Compliant
Balanced Fault,Test 3,0.053,0.008,0.064,0,0.116,Compliant
Balanced Fault,Test 4,0.049,0.007,0.063,0,0.078,Compliant
Balanced Fault,Test 5,0.04,0.008,0.063,0.013,0.085,Compliant
Balanced Fault,Test 6,0.053,0.008,0.065,0.013,0.072,Compliant
Balanced Fault,Test 7,0.039,0.007,0.047,0,0,Compliant
Balanced Fault,Test 8,0.041,0.008,0.053,0.009,0,Compliant
Balanced Fault,Test 9,0.051,0.006,0.046,0,0,Compliant
Balanced Fault,Test 10,0.039,0.008,0.065,0,0,Compliant
Balanced Fault,Test 11,0.04,0.008,0.063,0,0,Compliant
Balanced Fault,Test 12,0.052,0.007,0.052,0.012,0,Compliant
Balanced Fault,Test 13,0.051,0.008,0.065,0.011,0.121,Compliant
Balanced Fault,Test 14,0.05,0.008,0.064,0.01,0.121,Compliant
Balanced Fault,Test 15,0.067,0.008,0.063,0,0.121,Compliant
Balanced Fault,Test 16,0.05,0.007,0.064,0.011,0.086,Compliant
Balanced Fault,Test 17,0.04,0.008,0.054,0.013,0.095,Compliant
Balanced Fault,Test 18,0.052,0.008,0.053,0,0.079,Compliant
Balanced Fault,Test 19,0.039,0.007,0.047,0,0,Compliant
Balanced Fault,Test 20,0.04,0.007,0.047,0.01,0,Compliant
Balanced Fault,Test 21,0.051,0.006,0.046,0,0,Compliant
Balanced Fault,Test 22,0.049,0.007,0.054,0.009,0,Compliant
Balanced Fault,Test 23,0.04,0.008,0.054,0,0,Compliant
Balanced Fault,Test 24,0.052,0.007,0.064,0,0,Compliant
Balanced Fault,Test 25,0.051,0.008,0.064,0.011,0.115,Compliant
Balanced Fault,Test 26,0.051,0.008,0.063,0.011,0.113,Compliant
Balanced Fault,Test 27,0.068,0.008,0.065,0,0.116,Compliant
Balanced Fault,Test 28,0.04,0.007,0.052,0,0.092,Compliant
Balanced Fault,Test 29,0.04,0.008,0.053,0.017,0.096,Compliant
Balanced Fault,Test 30,0.052,0.007,0.054,0.013,0.078,Compliant
Balanced Fault,Test 31,0.041,0.006,0.048,0,0,Compliant
Balanced Fault,Test 32,0.041,0.007,0.054,0,0,Compliant
