Name,Iq Settling Time (sec),Iq Rise Time (sec),Ppoc Recovery Time (sec)
CSR_5255_TOV_001_FL1068_X2R4.01518_P1_Q0_V1.0227,0.094,0.000,0.000
CSR_5255_TOV_002_FL1068_X2R4.01518_P1_Q-1_V1.0227,0.094,0.002,0.000
CSR_5255_TOV_003_FL1068_X2R4.01518_P1_Q1_V1.0227,0.094,0.000,0.000
CSR_5255_TOV_004_FL1068_X2R4.01518_P0.05_Q0_V1.0227,0.070,0.000,0.000
CSR_5255_TOV_005_FL1068_X2R4.01518_P0.05_Q-1_V1.0227,0.069,0.000,0.000
CSR_5255_TOV_006_FL1068_X2R4.01518_P0.05_Q1_V1.0227,0.080,0.000,0.000
CSR_5255_TOV_007_FL1068_X2R4.01518_P-1_Q0_V1.0227,0.063,0.000,9999.000
CSR_5255_TOV_008_FL1068_X2R4.01518_P-1_Q-1_V1.0227,0.064,0.000,9999.000
CSR_5255_TOV_009_FL1068_X2R4.01518_P-1_Q1_V1.0227,0.074,0.000,0.031
CSR_5255_TOV_010_FL1068_X2R4.01518_P-0.05_Q0_V1.0227,0.069,0.000,0.000
CSR_5255_TOV_011_FL1068_X2R4.01518_P-0.05_Q-1_V1.0227,0.069,0.000,0.000
CSR_5255_TOV_012_FL1068_X2R4.01518_P-0.05_Q1_V1.0227,0.084,0.000,0.023
CSR_5255_TOV_013_FL510_X2R4.20848_P1_Q0_V1.0227,0.094,0.000,0.000
CSR_5255_TOV_014_FL510_X2R4.20848_P1_Q-1_V1.0227,0.094,0.000,0.000
CSR_5255_TOV_015_FL510_X2R4.20848_P1_Q1_V1.0227,0.094,0.000,0.000
CSR_5255_TOV_016_FL510_X2R4.20848_P0.05_Q0_V1.0227,0.072,0.001,0.000
CSR_5255_TOV_017_FL510_X2R4.20848_P0.05_Q-1_V1.0227,0.072,0.001,0.000
CSR_5255_TOV_018_FL510_X2R4.20848_P0.05_Q1_V1.0227,0.069,0.000,0.000
CSR_5255_TOV_019_FL510_X2R4.20848_P-1_Q0_V1.0227,0.072,0.000,9999.000
CSR_5255_TOV_020_FL510_X2R4.20848_P-1_Q-1_V1.0227,0.070,0.000,9999.000
CSR_5255_TOV_021_FL510_X2R4.20848_P-1_Q1_V1.0227,0.074,0.000,9999.000
CSR_5255_TOV_022_FL510_X2R4.20848_P-0.05_Q0_V1.0227,0.070,0.001,0.000
CSR_5255_TOV_023_FL510_X2R4.20848_P-0.05_Q-1_V1.0227,0.072,0.001,0.000
CSR_5255_TOV_024_FL510_X2R4.20848_P-0.05_Q1_V1.0227,0.072,0.000,0.014
CSR_5255_TOV_025_FL1068_X2R4.01518_P1_Q0_V1.0227,0.094,0.001,0.000
CSR_5255_TOV_026_FL1068_X2R4.01518_P1_Q-1_V1.0227,0.093,0.001,0.000
CSR_5255_TOV_027_FL1068_X2R4.01518_P1_Q1_V1.0227,0.095,0.001,0.001
CSR_5255_TOV_028_FL1068_X2R4.01518_P0.05_Q0_V1.0227,0.064,0.000,0.000
CSR_5255_TOV_029_FL1068_X2R4.01518_P0.05_Q-1_V1.0227,0.093,0.000,0.010
CSR_5255_TOV_030_FL1068_X2R4.01518_P0.05_Q1_V1.0227,0.065,0.002,0.000
CSR_5255_TOV_031_FL1068_X2R4.01518_P-1_Q0_V1.0227,0.062,0.000,0.029
CSR_5255_TOV_032_FL1068_X2R4.01518_P-1_Q-1_V1.0227,0.064,0.000,0.028
CSR_5255_TOV_033_FL1068_X2R4.01518_P-1_Q1_V1.0227,0.073,0.001,0.029
CSR_5255_TOV_034_FL1068_X2R4.01518_P-0.05_Q0_V1.0227,0.064,0.000,0.016
CSR_5255_TOV_035_FL1068_X2R4.01518_P-0.05_Q-1_V1.0227,0.072,0.000,0.016
CSR_5255_TOV_036_FL1068_X2R4.01518_P-0.05_Q1_V1.0227,0.065,0.000,0.024
CSR_5255_TOV_037_FL510_X2R4.20848_P1_Q0_V1.0227,0.094,0.001,0.000
CSR_5255_TOV_038_FL510_X2R4.20848_P1_Q-1_V1.0227,0.094,0.002,0.000
CSR_5255_TOV_039_FL510_X2R4.20848_P1_Q1_V1.0227,0.094,0.001,0.000
CSR_5255_TOV_040_FL510_X2R4.20848_P0.05_Q0_V1.0227,0.075,0.001,0.000
CSR_5255_TOV_041_FL510_X2R4.20848_P0.05_Q-1_V1.0227,0.074,0.000,0.000
CSR_5255_TOV_042_FL510_X2R4.20848_P0.05_Q1_V1.0227,0.070,0.000,0.000
CSR_5255_TOV_043_FL510_X2R4.20848_P-1_Q0_V1.0227,0.070,0.000,0.114
CSR_5255_TOV_044_FL510_X2R4.20848_P-1_Q-1_V1.0227,0.070,0.000,0.113
CSR_5255_TOV_045_FL510_X2R4.20848_P-1_Q1_V1.0227,0.067,0.000,0.030
CSR_5255_TOV_046_FL510_X2R4.20848_P-0.05_Q0_V1.0227,0.075,0.000,0.017
CSR_5255_TOV_047_FL510_X2R4.20848_P-0.05_Q-1_V1.0227,0.078,0.000,0.000
CSR_5255_TOV_048_FL510_X2R4.20848_P-0.05_Q1_V1.0227,0.070,0.000,0.025
CSR_5255_TOV_049_FL1068_X2R4.01518_P1_Q0_V1.0227,0.093,0.002,0.001
CSR_5255_TOV_050_FL1068_X2R4.01518_P1_Q-1_V1.0227,0.093,0.002,0.000
CSR_5255_TOV_051_FL1068_X2R4.01518_P1_Q1_V1.0227,0.094,0.002,0.005
CSR_5255_TOV_052_FL1068_X2R4.01518_P0.05_Q0_V1.0227,0.093,0.003,0.013
CSR_5255_TOV_053_FL1068_X2R4.01518_P0.05_Q-1_V1.0227,0.092,0.002,0.012
CSR_5255_TOV_054_FL1068_X2R4.01518_P0.05_Q1_V1.0227,0.068,0.003,0.017
CSR_5255_TOV_055_FL1068_X2R4.01518_P-1_Q0_V1.0227,0.077,0.001,0.028
CSR_5255_TOV_056_FL1068_X2R4.01518_P-1_Q-1_V1.0227,0.074,0.000,0.000
CSR_5255_TOV_057_FL1068_X2R4.01518_P-1_Q1_V1.0227,0.077,0.004,0.028
CSR_5255_TOV_058_FL1068_X2R4.01518_P-0.05_Q0_V1.0227,0.065,0.003,0.015
CSR_5255_TOV_059_FL1068_X2R4.01518_P-0.05_Q-1_V1.0227,0.065,0.002,0.015
CSR_5255_TOV_060_FL1068_X2R4.01518_P-0.05_Q1_V1.0227,0.067,0.003,0.027
CSR_5255_TOV_061_FL510_X2R4.20848_P1_Q0_V1.0227,0.094,0.003,0.002
CSR_5255_TOV_062_FL510_X2R4.20848_P1_Q-1_V1.0227,0.094,0.001,0.000
CSR_5255_TOV_063_FL510_X2R4.20848_P1_Q1_V1.0227,0.094,0.002,0.007
CSR_5255_TOV_064_FL510_X2R4.20848_P0.05_Q0_V1.0227,0.065,0.002,0.000
CSR_5255_TOV_065_FL510_X2R4.20848_P0.05_Q-1_V1.0227,0.065,0.002,0.000
CSR_5255_TOV_066_FL510_X2R4.20848_P0.05_Q1_V1.0227,0.067,0.003,0.017
CSR_5255_TOV_067_FL510_X2R4.20848_P-1_Q0_V1.0227,0.065,0.001,0.029
CSR_5255_TOV_068_FL510_X2R4.20848_P-1_Q-1_V1.0227,0.065,0.000,0.030
CSR_5255_TOV_069_FL510_X2R4.20848_P-1_Q1_V1.0227,0.062,0.005,0.028
CSR_5255_TOV_070_FL510_X2R4.20848_P-0.05_Q0_V1.0227,0.065,0.002,0.016
CSR_5255_TOV_071_FL510_X2R4.20848_P-0.05_Q-1_V1.0227,0.067,0.000,0.016
CSR_5255_TOV_072_FL510_X2R4.20848_P-0.05_Q1_V1.0227,0.067,0.003,0.027
CSR_5255_TOV_073_FL1068_X2R4.01518_P1_Q0_V1.0227,0.094,0.003,0.003
CSR_5255_TOV_074_FL1068_X2R4.01518_P1_Q-1_V1.0227,0.094,0.003,0.006
CSR_5255_TOV_075_FL1068_X2R4.01518_P1_Q1_V1.0227,0.097,0.003,0.007
CSR_5255_TOV_076_FL1068_X2R4.01518_P0.05_Q0_V1.0227,0.095,0.002,0.013
CSR_5255_TOV_077_FL1068_X2R4.01518_P0.05_Q-1_V1.0227,0.093,0.002,0.010
CSR_5255_TOV_078_FL1068_X2R4.01518_P0.05_Q1_V1.0227,0.068,0.002,0.016
CSR_5255_TOV_079_FL1068_X2R4.01518_P-1_Q0_V1.0227,0.078,0.002,0.000
CSR_5255_TOV_080_FL1068_X2R4.01518_P-1_Q-1_V1.0227,0.078,0.002,0.000
CSR_5255_TOV_081_FL1068_X2R4.01518_P-1_Q1_V1.0227,0.077,0.005,0.000
CSR_5255_TOV_082_FL1068_X2R4.01518_P-0.05_Q0_V1.0227,0.053,0.002,0.015
CSR_5255_TOV_083_FL1068_X2R4.01518_P-0.05_Q-1_V1.0227,0.053,0.002,0.014
CSR_5255_TOV_084_FL1068_X2R4.01518_P-0.05_Q1_V1.0227,0.053,0.003,0.026
CSR_5255_TOV_085_FL510_X2R4.20848_P1_Q0_V1.0227,0.094,0.003,0.004
CSR_5255_TOV_086_FL510_X2R4.20848_P1_Q-1_V1.0227,0.094,0.002,0.004
CSR_5255_TOV_087_FL510_X2R4.20848_P1_Q1_V1.0227,0.094,0.003,0.009
CSR_5255_TOV_088_FL510_X2R4.20848_P0.05_Q0_V1.0227,0.067,0.004,0.000
CSR_5255_TOV_089_FL510_X2R4.20848_P0.05_Q-1_V1.0227,0.065,0.003,0.000
CSR_5255_TOV_090_FL510_X2R4.20848_P0.05_Q1_V1.0227,0.068,0.004,0.017
CSR_5255_TOV_091_FL510_X2R4.20848_P-1_Q0_V1.0227,0.052,0.004,0.028
CSR_5255_TOV_092_FL510_X2R4.20848_P-1_Q-1_V1.0227,0.054,0.002,0.027
CSR_5255_TOV_093_FL510_X2R4.20848_P-1_Q1_V1.0227,0.074,0.005,0.028
CSR_5255_TOV_094_FL510_X2R4.20848_P-0.05_Q0_V1.0227,0.067,0.004,0.015
CSR_5255_TOV_095_FL510_X2R4.20848_P-0.05_Q-1_V1.0227,0.065,0.003,0.015
CSR_5255_TOV_096_FL510_X2R4.20848_P-0.05_Q1_V1.0227,0.068,0.002,0.027
