Test Num,Iq Settling Time (sec),Iq Rise Time (sec),Iq Neg Settling Time (sec),Iq Neg Rise Time (sec),Ppoc Recovery Time (sec),Assessment
Test 25,0.053,0.003,0.06,0.004,0,Compliant
Test 27,0.051,0.005,0.062,0.001,0,Compliant
Test 28,0.059,0.004,0.064,0,0.013,Compliant
Test 31,0.065,0.003,0.061,0,0.016,Compliant
Test 32,0.063,0.003,0.054,0,0.016,Compliant
Test 34,0.062,0.003,0.062,0.004,0.015,Compliant
Test 37,0.045,0.003,0.057,0.001,0,Compliant
Test 39,0.061,0.005,0.06,0.001,0,Compliant
Test 43,0.063,0.003,0.054,0.001,0.017,Compliant
Test 46,0.055,0.003,0.062,0.007,0.018,Compliant
Test 49,0.052,0.004,0.068,0.002,0,Compliant
Test 50,0.045,0.004,0.059,0.004,0,Compliant
Test 51,0.051,0.005,0.062,0.002,0,Compliant
Test 52,0.05,0.004,0.055,0.007,0.012,Compliant
Test 53,0.058,0.007,0.065,0,0.012,Compliant
Test 54,0.059,0.016,0.065,0,0.013,Compliant
Test 55,0.044,0.003,0.063,0,0.016,Compliant
Test 56,0.043,0.004,0.063,0.001,0.016,Compliant
Test 57,0.047,0.004,0.068,0,0.019,Compliant
Test 58,0.052,0.003,0.062,0.007,0.015,Compliant
Test 59,0.048,0.005,0.045,0,0.017,Compliant
Test 60,0.069,0.015,0.066,0,0.018,Compliant
Test 61,0.053,0.004,0.059,0,0,Compliant
Test 62,0.038,0.004,0.061,0.003,0,Compliant
Test 63,0.051,0.005,0.062,0.001,0,Compliant
Test 66,0.061,0.015,0.065,0,0.014,Compliant
Test 67,0.044,0.004,0.062,0,0.016,Compliant
Test 68,0.042,0.003,0.055,0.001,0.017,Compliant
Test 69,0.066,0.005,0.061,0.004,0.019,Compliant
Test 70,0.052,0.004,0.061,0.008,0.016,Compliant
Test 72,0.06,0.015,0.066,0,0.019,Compliant
Test 73,0.064,0.004,0.06,0.002,0,Compliant
Test 74,0.046,0.004,0.06,0.004,0,Compliant
Test 75,0.051,0.005,0.062,0.001,0,Compliant
Test 76,0.051,0.005,0.055,0.007,0.012,Compliant
Test 77,0.055,0.007,0.053,0,0.012,Compliant
Test 78,0.059,0.017,0.064,0,0.014,Compliant
Test 79,0.044,0.003,0.064,0.001,0.016,Compliant
Test 80,0.044,0.003,0.064,0.002,0.016,Compliant
Test 81,0.067,0.004,0.068,0,0.015,Compliant
Test 82,0.062,0.004,0.063,0.007,0.015,Compliant
Test 83,0.052,0.006,0.054,0,0.016,Compliant
Test 84,0.059,0.016,0.065,0,0.019,Compliant
Test 85,0.064,0.004,0.059,0.001,0,Compliant
Test 86,0.045,0.004,0.059,0.003,0,Compliant
Test 87,0.051,0.005,0.06,0.001,0,Compliant
Test 89,0.061,0.007,0.064,0,0.012,Compliant
Test 90,0.056,0.014,0.057,0,0.013,Compliant
Test 91,0.064,0.004,0.063,0.001,0.016,Compliant
Test 92,0.044,0.004,0.062,0.002,0.016,Compliant
Test 93,0.065,0.005,0.061,0.004,0.016,Compliant
Test 94,0.054,0.004,0.061,0.007,0.016,Compliant
Test 95,0.056,0.006,0.041,0,0.018,Compliant
Test 96,0.059,0.016,0.065,0,0.02,Compliant
Test 3,0.104,0.004,0.108,0.002,0,See discussion
Test 15,0.096,0.004,0.097,0.001,0,See discussion
Test 26,0.066,0.003,0.078,0.005,0,See discussion
Test 30,0.11,0.007,0.094,0,0.014,See discussion
Test 33,0.066,0.003,0.07,0.004,0.019,See discussion
Test 35,0.087,0.004,0.087,0,0.018,See discussion
Test 36,0.1,0.014,0.098,0.001,0.021,See discussion
Test 40,0.099,0.004,0.076,0,0.012,See discussion
Test 45,0.065,0.004,0.071,0.004,0.02,See discussion
Test 64,0.071,0.005,0.074,0,0.012,See discussion
Test 65,0.054,0.007,0.08,0,0.012,See discussion
Test 71,0.085,0.005,0.075,0,0.018,See discussion
Test 88,0.071,0.006,0.073,0,0,See discussion
,,,,,,
,,,,,,
