Name,Initial Vpoc (pu),Stepped Voltage (pu),Most Severe Band,Final Band,Most Severe Undervoltage (pu),Most Severe Overvoltage (pu),Final Voltage (pu)
Test 1,0.0,-0.1,Continuous,Continuous,0.9391944977109692,1.0310782202230233,0.9752767240180915
Test 2,0.0,-0.1,Continuous,Continuous,0.8901100348197641,1.0188472605894916,1.0163599511506474
Test 3,0.0,-0.1,Continuous,Continuous,0.9184477369787309,1.0182202632324409,1.0163524787056684
Test 4,0.0,0.1,Continuous,Continuous,0.9915484784549502,1.1201570234017566,0.9948337361869107
Test 5,0.0,0.1,Continuous,Continuous,0.986217586454742,1.0978252288585528,1.0500237093059444
Test 6,0.0,0.1,Continuous,Continuous,1.0110999106225065,1.1061730541970125,1.012595293836906
Test 7,0.0,-0.1,Continuous,Continuous,0.9310293553095359,1.0268579554691806,0.9687582574424467
Test 8,0.0,-0.1,Continuous,Continuous,0.8680182577185689,1.01408674587002,1.0120055902721241
Test 9,0.0,-0.1,Continuous,Continuous,0.896960578183909,0.9988268964687874,0.9969791018245755
Test 10,0.0,0.1,Continuous,Continuous,0.9708934935225079,1.116815397224311,0.9756746682969967
Test 11,0.0,0.1,Continuous,Continuous,0.9663636093639857,1.080241603544993,1.0316256746087964
Test 12,0.0,0.1,Continuous,Continuous,0.9919266498634152,1.0876875526698928,0.9937675178528835
