Name,Study Type,Fault No,Initial pos seq iq (pu),Initial neg seq iq (pu),Initial V (pu),Last iq (pu),Voltage Deadband Upper,Last V (pu),Change in Voltage ,DROOP iq injection,REQUIRED iq ,Last Saturation Point Current (pu),Saturated,Grouped By,Delta iq pos seq (pu),Delta iq neg seq (pu),ABS(Delta neq2pos seq iq),Delta V (pu),,Excluded By Voltage Range,Last pos seq iq (pu),Included By Voltage Range
CSR_5255_TOV_001_FL1068_X2R4.01518_P1_Q0_V1.0227,TOV,1,-0.000706243,,1.022737115,,1.2,1.207980752,0.007980752,-0.015961505,FAIL,0.771674662,FALSE,,0.055640079,,,0.185243638,,,0.054933836,TRUE
CSR_5255_TOV_002_FL1068_X2R4.01518_P1_Q-1_V1.0227,TOV,1,-0.360159692,,1.02275849,,1.2,1.200477621,0.000477621,-0.000955242,PASS,0.899933434,FALSE,,-0.009904867,,,0.177719131,,,-0.370064559,TRUE
CSR_5255_TOV_003_FL1068_X2R4.01518_P1_Q1_V1.0227,TOV,1,0.359513416,,1.022752591,,1.2,1.208198958,0.008198958,-0.016397915,FAIL,0.834569493,FALSE,,0.027434185,,,0.185446366,,,0.386947601,TRUE
CSR_5255_TOV_004_FL1068_X2R4.01518_P0.05_Q0_V1.0227,TOV,1,0.000816115,,1.022706767,,1.2,1.203430542,0.003430542,-0.006861085,FAIL,0.067091849,FALSE,,0.039095969,,,0.180723776,,,0.039912085,TRUE
CSR_5255_TOV_006_FL1068_X2R4.01518_P0.05_Q1_V1.0227,TOV,1,0.354073896,,1.022365974,,1.2,1.205943062,0.005943062,-0.011886125,FAIL,0.391783531,FALSE,,0.032427988,,,0.183577088,,,0.386501884,TRUE
CSR_5255_TOV_009_FL1068_X2R4.01518_P-1_Q1_V1.0227,TOV,1,0.360242112,,1.022732164,,1.2,1.208195235,0.008195235,-0.016390469,FAIL,0.963861342,FALSE,,0.094518713,,,0.18546307,,,0.454760825,TRUE
CSR_5255_TOV_010_FL1068_X2R4.01518_P-0.05_Q0_V1.0227,TOV,1,-0.000214278,,1.022699789,,1.2,1.202005288,0.002005288,-0.004010577,FAIL,0.042945847,FALSE,,0.023442461,,,0.1793055,,,0.023228183,TRUE
CSR_5255_TOV_012_FL1068_X2R4.01518_P-0.05_Q1_V1.0227,TOV,1,0.353520994,,1.022334149,,1.2,1.207017077,0.007017077,-0.014034155,FAIL,0.423271332,FALSE,,0.064172468,,,0.184682929,,,0.417693462,TRUE
CSR_5255_TOV_013_FL510_X2R4.20848_P1_Q0_V1.0227,TOV,1,-0.000262397,,1.022700513,,1.2,1.205992807,0.005992807,-0.011985614,FAIL,0.787645953,FALSE,,0.003650667,,,0.183292295,,,0.00338827,TRUE
CSR_5255_TOV_015_FL510_X2R4.20848_P1_Q1_V1.0227,TOV,1,0.359560314,,1.022840555,,1.2,1.214524667,0.014524667,-0.029049334,FAIL,0.818567547,FALSE,,0.024413498,,,0.191684112,,,0.383973812,TRUE
CSR_5255_TOV_021_FL510_X2R4.20848_P-1_Q1_V1.0227,TOV,1,0.358770999,,1.022700734,,1.2,1.202952528,0.002952528,-0.005905056,FAIL,0.945602266,FALSE,,0.016236382,,,0.180251794,,,0.375007381,TRUE
CSR_5255_TOV_024_FL510_X2R4.20848_P-0.05_Q1_V1.0227,TOV,1,0.357395869,,1.022516744,,1.2,1.200371322,0.000371322,-0.000742644,PASS,0.318514525,FALSE,,-0.04152981,,,0.177854578,,,0.315866059,TRUE
CSR_5255_TOV_025_FL1068_X2R4.01518_P1_Q0_V1.0227,TOV,1,-0.000706243,,1.022737114,,1.2,1.250836107,0.050836107,-0.101672213,FAIL,0.713442932,FALSE,,-0.078762048,,,0.228098992,,,-0.07946829,TRUE
CSR_5255_TOV_026_FL1068_X2R4.01518_P1_Q-1_V1.0227,TOV,1,-0.360159691,,1.02275849,,1.2,1.250090452,0.050090452,-0.100180904,FAIL,0.8681221,FALSE,,-0.024229886,,,0.227331962,,,-0.384389577,TRUE
CSR_5255_TOV_027_FL1068_X2R4.01518_P1_Q1_V1.0227,TOV,1,0.359456904,,1.022750265,,1.2,1.251702417,0.051702417,-0.103404834,FAIL,0.717201933,FALSE,,-0.099376521,,,0.228952152,,,0.260080382,TRUE
CSR_5255_TOV_028_FL1068_X2R4.01518_P0.05_Q0_V1.0227,TOV,1,0.000536093,,1.022686606,,1.2,1.250958934,0.050958934,-0.101917867,FAIL,0.04511205,FALSE,,-0.010160876,,,0.228272328,,,-0.009624783,TRUE
CSR_5255_TOV_029_FL1068_X2R4.01518_P0.05_Q-1_V1.0227,TOV,1,-0.358577118,,1.022655507,,1.2,1.250111771,0.050111771,-0.100223541,FAIL,0.3514747,FALSE,,0.012458127,,,0.227456264,,,-0.346118991,TRUE
CSR_5255_TOV_030_FL1068_X2R4.01518_P0.05_Q1_V1.0227,TOV,1,0.35396166,,1.022367239,,1.2,1.251803873,0.051803873,-0.103607747,FAIL,0.315353119,FALSE,,-0.039181023,,,0.229436635,,,0.314780636,TRUE
CSR_5255_TOV_031_FL1068_X2R4.01518_P-1_Q0_V1.0227,TOV,1,0.001452087,,1.022663958,,1.2,1.2531386,0.0531386,-0.106277199,FAIL,0.859437937,FALSE,,0.05662183,,,0.230474642,,,0.058073917,TRUE
CSR_5255_TOV_032_FL1068_X2R4.01518_P-1_Q-1_V1.0227,TOV,1,-0.349250817,,1.023203398,,1.2,1.249078761,0.049078761,-0.098157521,FAIL,0.894717457,FALSE,,0.067975513,,,0.225875362,,,-0.281275304,TRUE
CSR_5255_TOV_033_FL1068_X2R4.01518_P-1_Q1_V1.0227,TOV,1,0.360242113,,1.022732164,,1.2,1.250629857,0.050629857,-0.101259714,FAIL,0.908157259,FALSE,,-0.038517798,,,0.227897693,,,0.321724315,TRUE
