Test,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
CSR Case 1_CSRPFrefSteps_001,NA,1.143,1.126,1.087
CSR Case 1_CSRPFrefSteps_002,NA,1.225,1.211,1.167
CSR Case 1_CSRPFrefSteps_003,NA,1.109,1.09,1.054
CSR Case 1_CSRPFrefSteps_004,NA,1.155,2.85,1.099
CSR Case 1_CSRPFrefSteps_005,NA,1.225,1.202,1.167
CSR Case 1_CSRPFrefSteps_006,NA,2.568,2.696,1.06
CSR Case 1_CSRPFrefSteps_007,NA,1.238,1.225,1.18
CSR Case 1_CSRPFrefSteps_008,NA,2.725,2.738,1.036
CSR Case 1_CSRPFrefSteps_009,NA,1.241,1.223,1.183
CSR Case 1_CSRPFrefSteps_010,NA,2.813,2.972,1.044
CSR Case 2_CSRPFrefSteps_001,NA,1.143,1.127,1.087
CSR Case 2_CSRPFrefSteps_002,NA,1.22,1.204,1.162
CSR Case 2_CSRPFrefSteps_003,NA,1.111,1.1,1.056
CSR Case 2_CSRPFrefSteps_004,NA,1.155,2.852,1.099
CSR Case 2_CSRPFrefSteps_005,NA,1.227,1.206,1.169
CSR Case 2_CSRPFrefSteps_006,NA,2.489,2.616,1.06
CSR Case 2_CSRPFrefSteps_007,NA,1.236,1.223,1.178
CSR Case 2_CSRPFrefSteps_008,NA,2.697,2.74,1.037
CSR Case 2_CSRPFrefSteps_009,NA,1.245,1.225,1.187
CSR Case 2_CSRPFrefSteps_010,NA,2.813,2.98,1.043
CSR Case 3_CSRPFrefSteps_001,NA,1.144,1.129,1.087
CSR Case 3_CSRPFrefSteps_002,NA,1.222,1.21,1.163
CSR Case 3_CSRPFrefSteps_003,NA,1.103,1.084,1.048
CSR Case 3_CSRPFrefSteps_004,NA,1.154,2.821,1.097
CSR Case 3_CSRPFrefSteps_005,NA,1.227,1.207,1.168
CSR Case 3_CSRPFrefSteps_006,NA,2.608,2.776,1.06
CSR Case 3_CSRPFrefSteps_007,NA,1.24,1.221,1.181
CSR Case 3_CSRPFrefSteps_008,NA,2.699,2.693,1.033
CSR Case 3_CSRPFrefSteps_009,NA,1.244,1.213,1.185
CSR Case 3_CSRPFrefSteps_010,NA,2.818,2.943,1.044
CSR Case 4_CSRPFrefSteps_001,NA,1.147,2.568,1.091
CSR Case 4_CSRPFrefSteps_002,NA,1.221,2.844,1.163
CSR Case 4_CSRPFrefSteps_003,NA,1.101,2.312,1.047
CSR Case 4_CSRPFrefSteps_004,NA,2.566,2.855,1.097
CSR Case 4_CSRPFrefSteps_005,NA,1.228,2.57,1.17
CSR Case 4_CSRPFrefSteps_006,NA,2.205,2.225,1.073
CSR Case 4_CSRPFrefSteps_007,NA,1.233,1.24,1.175
CSR Case 4_CSRPFrefSteps_008,NA,2.774,2.48,1.032
CSR Case 4_CSRPFrefSteps_009,NA,1.249,2.162,1.191
CSR Case 4_CSRPFrefSteps_010,NA,2.894,2.921,1.049
