Test,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
CSR Case 1_CSRQrefSteps_001,NA,1.173,2.686,1.117
CSR Case 1_CSRQrefSteps_002,NA,1.138,1.119,1.082
CSR Case 1_CSRQrefSteps_003,NA,1.232,1.217,1.174
CSR Case 1_CSRQrefSteps_004,NA,1.146,2.848,1.09
CSR Case 1_CSRQrefSteps_005,NA,1.234,1.212,1.176
CSR Case 1_CSRQrefSteps_006,NA,1.209,1.185,1.153
CSR Case 1_CSRQrefSteps_007,NA,1.177,1.152,1.121
CSR Case 1_CSRQrefSteps_008,NA,1.097,1.074,1.042
CSR Case 1_CSRQrefSteps_009,NA,1.183,1.163,1.127
CSR Case 1_CSRQrefSteps_010,NA,2.571,2.694,1.051
CSR Case 1_CSRQrefSteps_011,NA,1.281,1.269,1.189
CSR Case 1_CSRQrefSteps_012,NA,2.719,2.723,1.037
CSR Case 1_CSRQrefSteps_013,NA,1.281,1.255,1.189
CSR Case 1_CSRQrefSteps_014,NA,2.842,2.966,1.044
CSR Case 2_CSRQrefSteps_001,NA,1.173,2.693,1.117
CSR Case 2_CSRQrefSteps_002,NA,1.138,1.119,1.082
CSR Case 2_CSRQrefSteps_003,NA,1.226,1.21,1.168
CSR Case 2_CSRQrefSteps_004,NA,1.146,2.854,1.09
CSR Case 2_CSRQrefSteps_005,NA,1.238,1.214,1.18
CSR Case 2_CSRQrefSteps_006,NA,1.209,1.185,1.153
CSR Case 2_CSRQrefSteps_007,NA,1.177,1.152,1.121
CSR Case 2_CSRQrefSteps_008,NA,1.099,1.09,1.044
CSR Case 2_CSRQrefSteps_009,NA,1.183,1.162,1.127
CSR Case 2_CSRQrefSteps_010,NA,2.532,2.648,1.052
CSR Case 2_CSRQrefSteps_011,NA,1.276,1.266,1.184
CSR Case 2_CSRQrefSteps_012,NA,2.69,2.727,1.037
CSR Case 2_CSRQrefSteps_013,NA,1.284,1.259,1.192
CSR Case 2_CSRQrefSteps_014,NA,2.839,2.969,1.044
CSR Case 3_CSRQrefSteps_001,NA,1.173,2.654,1.117
CSR Case 3_CSRQrefSteps_002,NA,1.136,1.119,1.079
CSR Case 3_CSRQrefSteps_003,NA,1.23,1.217,1.171
CSR Case 3_CSRQrefSteps_004,NA,1.146,2.821,1.089
CSR Case 3_CSRQrefSteps_005,NA,1.237,1.215,1.178
CSR Case 3_CSRQrefSteps_006,NA,1.207,1.181,1.151
CSR Case 3_CSRQrefSteps_007,NA,1.176,1.153,1.119
CSR Case 3_CSRQrefSteps_008,NA,1.096,1.073,1.041
CSR Case 3_CSRQrefSteps_009,NA,1.184,1.151,1.127
CSR Case 3_CSRQrefSteps_010,NA,2.612,2.772,1.052
CSR Case 3_CSRQrefSteps_011,NA,1.278,1.256,1.185
CSR Case 3_CSRQrefSteps_012,NA,2.722,2.727,1.035
CSR Case 3_CSRQrefSteps_013,NA,1.285,1.254,1.192
CSR Case 3_CSRQrefSteps_014,NA,2.848,2.977,1.045
CSR Case 4_CSRQrefSteps_001,NA,1.172,2.772,1.116
CSR Case 4_CSRQrefSteps_002,NA,2.292,2.566,1.083
CSR Case 4_CSRQrefSteps_003,NA,1.23,2.84,1.172
CSR Case 4_CSRQrefSteps_004,NA,1.15,2.82,1.094
CSR Case 4_CSRQrefSteps_005,NA,1.234,2.57,1.176
CSR Case 4_CSRQrefSteps_006,NA,1.204,2.176,1.148
CSR Case 4_CSRQrefSteps_007,NA,1.175,2.302,1.119
CSR Case 4_CSRQrefSteps_008,NA,1.094,2.313,1.04
CSR Case 4_CSRQrefSteps_009,NA,1.183,2.132,1.127
CSR Case 4_CSRQrefSteps_010,NA,2.648,2.229,1.057
CSR Case 4_CSRQrefSteps_011,NA,1.276,1.273,1.187
CSR Case 4_CSRQrefSteps_012,NA,2.718,3.126,1.035
CSR Case 4_CSRQrefSteps_013,NA,1.28,1.275,1.191
CSR Case 4_CSRQrefSteps_014,NA,2.802,5.085,1.052
