Test,Ppoc Settling Time (sec),Qpoc Settling Time (sec),Vpoc Settling TIme (sec),Qpoc Rise Time (sec)
CSR Case 1_CSRVrefSteps_001,NA,1.163,2.535,1.107
CSR Case 1_CSRVrefSteps_002,NA,2.693,2.773,1.063
CSR Case 1_CSRVrefSteps_003,NA,0.71,0.692,0.664
CSR Case 1_CSRVrefSteps_005,NA,1.164,1.141,1.107
CSR Case 1_CSRVrefSteps_006,NA,0.693,0.685,0.649
CSR Case 1_CSRVrefSteps_008,NA,1.222,1.198,1.166
CSR Case 1_CSRVrefSteps_009,NA,1.193,1.173,1.137
CSR Case 1_CSRVrefSteps_011,NA,0.657,0.63,0.619
CSR Case 1_CSRVrefSteps_012,NA,1.204,1.175,1.148
CSR Case 1_CSRVrefSteps_014,NA,0.651,0.627,0.613
CSR Case 1_CSRVrefSteps_015,NA,1.261,1.243,1.17
CSR Case 1_CSRVrefSteps_016,NA,2.686,2.727,1.043
CSR Case 1_CSRVrefSteps_017,NA,1.264,1.238,1.173
CSR Case 1_CSRVrefSteps_018,NA,2.807,2.969,1.055
CSR Case 2_CSRVrefSteps_001,NA,1.187,1.172,1.131
CSR Case 2_CSRVrefSteps_002,NA,2.695,2.777,1.064
CSR Case 2_CSRVrefSteps_003,NA,0.704,0.689,0.659
CSR Case 2_CSRVrefSteps_005,NA,1.14,2.406,1.084
CSR Case 2_CSRVrefSteps_006,NA,0.693,0.685,0.648
CSR Case 2_CSRVrefSteps_008,NA,1.222,1.2,1.166
CSR Case 2_CSRVrefSteps_009,NA,1.193,1.174,1.137
CSR Case 2_CSRVrefSteps_011,NA,0.655,0.638,0.617
CSR Case 2_CSRVrefSteps_012,NA,1.203,1.174,1.147
CSR Case 2_CSRVrefSteps_014,NA,0.648,0.625,0.61
CSR Case 2_CSRVrefSteps_015,NA,1.256,1.242,1.165
CSR Case 2_CSRVrefSteps_016,NA,2.683,2.727,1.045
CSR Case 2_CSRVrefSteps_017,NA,1.266,1.241,1.175
CSR Case 2_CSRVrefSteps_018,NA,2.805,2.97,1.054
CSR Case 3_CSRVrefSteps_001,NA,2.856,2.94,1.096
CSR Case 3_CSRVrefSteps_002,NA,2.731,2.771,1.058
CSR Case 3_CSRVrefSteps_003,NA,0.704,0.692,0.659
CSR Case 3_CSRVrefSteps_005,NA,1.15,1.134,1.093
CSR Case 3_CSRVrefSteps_006,NA,0.69,0.687,0.645
CSR Case 3_CSRVrefSteps_008,NA,1.221,1.193,1.165
CSR Case 3_CSRVrefSteps_009,NA,1.193,1.173,1.136
CSR Case 3_CSRVrefSteps_011,NA,0.659,0.624,0.62
CSR Case 3_CSRVrefSteps_012,NA,1.203,1.168,1.147
CSR Case 3_CSRVrefSteps_014,NA,0.649,0.621,0.612
CSR Case 3_CSRVrefSteps_015,NA,1.259,1.243,1.167
CSR Case 3_CSRVrefSteps_016,NA,2.686,2.688,1.043
CSR Case 3_CSRVrefSteps_017,NA,1.267,1.236,1.175
CSR Case 3_CSRVrefSteps_018,NA,2.814,2.976,1.054
CSR Case 4_CSRVrefSteps_001,NA,2.889,2.929,1.097
CSR Case 4_CSRVrefSteps_002,NA,1.126,1.105,1.07
CSR Case 4_CSRVrefSteps_003,NA,0.699,0.691,0.655
CSR Case 4_CSRVrefSteps_005,NA,1.17,1.13,1.113
CSR Case 4_CSRVrefSteps_006,NA,0.69,0.671,0.649
CSR Case 4_CSRVrefSteps_008,NA,1.22,1.208,1.164
CSR Case 4_CSRVrefSteps_009,NA,1.196,1.184,1.139
CSR Case 4_CSRVrefSteps_011,NA,0.649,0.622,0.613
CSR Case 4_CSRVrefSteps_012,NA,1.206,2.134,1.15
CSR Case 4_CSRVrefSteps_014,NA,0.632,0.624,0.596
CSR Case 4_CSRVrefSteps_015,NA,1.258,1.247,1.169
CSR Case 4_CSRVrefSteps_016,NA,2.728,3.002,1.042
CSR Case 4_CSRVrefSteps_017,NA,1.262,1.237,1.174
CSR Case 4_CSRVrefSteps_018,NA,2.802,3.001,1.061
