,Deliverable,Category,Figure Number,Clause,Test No,Subtest No,Batch,File_Name,Readable_Name,PSSE,PSCAD,Grid_SCR,Grid_FL_MVA_sig,Grid_X2R_sig,Vpoc_pu_sig,Qpoc_pu,Qpoc_MVAr_init,Vref_init,Ppoc_pu,Ppoc_MW_sig,Vref_pu_sig,PSSE Commands,Post_Init_Duration_s,Vslack_pu_sig,Test Details,Saturated_Status,Plotter Table,Appendix_Name_PSSE,Appendix_Name_PSCAD,Appendix Letter,Xlsx_Name,Sheet_Name,Is_Infinite
0,CSR,CSR Vref Steps,1,52513,1,1,,CSR_52513_CSRVrefSteps_001p1_FL5591_X2R12.04_P1_Q1_V1.06,CSR_52513_CSRVrefSteps_001p1,True,True,19.61754385964912,5590.999999999999,12.04,1.06,1.0,112.575,1.1,1,285,"1.1, AT 5s ↓ 1.05, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 1.05 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','1'],['Subtest no.','1'],['SCR', '19.618'],['X2R','12.04']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
1,CSR,CSR Vref Steps,2,52513,2,1,,CSR_52513_CSRVrefSteps_002p1_FL5591_X2R12.04_P1_Q0_V1.06,CSR_52513_CSRVrefSteps_002p1,True,True,19.61754385964912,5590.999999999999,12.04,1.06,0.0,0.0,1.06,1,285,"1.06, AT 5s ↓ 1.01, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 1.01 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','2'],['Subtest no.','1'],['SCR', '19.618'],['X2R','12.04']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
2,CSR,CSR Vref Steps,3,52513,3,1,,CSR_52513_CSRVrefSteps_003p1_FL5591_X2R12.04_P1_Q-1_V1.06,CSR_52513_CSRVrefSteps_003p1,True,True,19.61754385964912,5590.999999999999,12.04,1.06,-1.0,-112.575,1.02,1,285,"1.02, AT 5s ↑ 1.07, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 1.07 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','3'],['Subtest no.','1'],['SCR', '19.618'],['X2R','12.04']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
3,CSR,CSR Vref Steps,4,52513,4,1,,CSR_52513_CSRVrefSteps_004p1_FL5591_X2R12.04_P1_Q0_V1.06,CSR_52513_CSRVrefSteps_004p1,True,True,19.61754385964912,5590.999999999999,12.04,1.06,0.0,0.0,1.06,1,285,"1.06, AT 5s ↑ 1.11, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 1.11 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','4'],['Subtest no.','1'],['SCR', '19.618'],['X2R','12.04']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
4,CSR,CSR Vref Steps,5,52513,5,1,1.0,CSR_52513_CSRVrefSteps_005p1_FL5591_X2R12.04_P1_Q0.38_V1.06,CSR_52513_CSRVrefSteps_005p1,True,True,19.61754385964912,5590.999999999999,12.04,1.06,0.375,42.215625,1.075,1,285,"1.075, AT 5s ↑ 1.125, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 1.125 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','5'],['Subtest no.','1'],['SCR', '19.618'],['X2R','12.04']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
5,CSR,CSR Vref Steps,6,52513,6,1,1.0,CSR_52513_CSRVrefSteps_006p1_FL5591_X2R12.04_P1_Q-0.38_V1.06,CSR_52513_CSRVrefSteps_006p1,True,True,19.61754385964912,5590.999999999999,12.04,1.06,-0.375,-42.215625,1.0450000000000002,1,285,"1.045, AT 5s ↓ 0.995, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 0.995 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','6'],['Subtest no.','1'],['SCR', '19.618'],['X2R','12.04']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
6,CSR,CSR Vref Steps,7,52513,1,2,,CSR_52513_CSRVrefSteps_001p2_FL3185_X2R11.24_P1_Q1_V1.06,CSR_52513_CSRVrefSteps_001p2,True,True,11.175438596491228,3185.0,11.24,1.06,1.0,112.575,1.1,1,285,"1.1, AT 5s ↓ 1.05, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 1.05 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','1'],['Subtest no.','2'],['SCR', '11.175'],['X2R','11.24']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
7,CSR,CSR Vref Steps,8,52513,2,2,,CSR_52513_CSRVrefSteps_002p2_FL3185_X2R11.24_P1_Q0_V1.06,CSR_52513_CSRVrefSteps_002p2,True,True,11.175438596491228,3185.0,11.24,1.06,0.0,0.0,1.06,1,285,"1.06, AT 5s ↓ 1.01, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 1.01 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','2'],['Subtest no.','2'],['SCR', '11.175'],['X2R','11.24']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
8,CSR,CSR Vref Steps,9,52513,3,2,,CSR_52513_CSRVrefSteps_003p2_FL3185_X2R11.24_P1_Q-1_V1.06,CSR_52513_CSRVrefSteps_003p2,True,True,11.175438596491228,3185.0,11.24,1.06,-1.0,-112.575,1.02,1,285,"1.02, AT 5s ↑ 1.07, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 1.07 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','3'],['Subtest no.','2'],['SCR', '11.175'],['X2R','11.24']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
9,CSR,CSR Vref Steps,10,52513,4,2,,CSR_52513_CSRVrefSteps_004p2_FL3185_X2R11.24_P1_Q0_V1.06,CSR_52513_CSRVrefSteps_004p2,True,True,11.175438596491228,3185.0,11.24,1.06,0.0,0.0,1.06,1,285,"1.06, AT 5s ↑ 1.11, WITH SCALING=1.0",SET MODEL 'flncppc' VAR 18 TO 1.11 AT 5s,13,,,,"[['Deliverable','CSR'],['Test Type','CSR Vref Steps'],['Test Details',''],['Test no.','4'],['Subtest no.','2'],['SCR', '11.175'],['X2R','11.24']]",Appendix J CSR Vref Steps,Appendix J CSR Vref Steps,J,HY_Spec_CSR_300,52513_Vref,False
