,Deliverable,Category,Clause,Test No,Subtest No,File_Name,PSSE,PSCAD,PLB_Required,Grid_SCR,Grid_FL_MVA_sig,Grid_X2R_sig,Vpoc_pu_sig,Qpoc_pu,Qpoc_MVAr_init,Vref_pu_sig,Ppoc_pu,Ppoc_MW_sig,Post_Init_Duration_s,Voltage_step_pu,Vpoc_disturbance_pu_sig,Vslack_pu_sig,Vslack_pu_psse,Steps_per_write,U_Ov,Test Details,Control Mode,PPM_Config_File_Number_gs,Plotter Table,Appendix_Name_PSSE,Appendix_Name_PSCAD,Appendix Letter,Xlsx_Name,Sheet_Name,Is_Infinite
0,CSR,CSR CUO,5254,1,,CSR_5254_CSRCUO_001_FL-1_X2R-1_P1_Q1_V1,True,True,True,3.68,920,5,1,1,112.575,1.04,1,285,35,0.9,"0.0, AT 5s ↑ -0.1",,"1.0, AT 5s ↑ 0.9",10,,Step PoC voltage to 0.9,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 0.9'],['Test no.','1'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
1,CSR,CSR CUO,5254,2,,CSR_5254_CSRCUO_002_FL-1_X2R-1_P1_Q-1_V1,True,True,True,3.68,920,5,1,-1,-112.575,0.96,1,285,35,0.9,"0.0, AT 5s ↑ -0.1",,"1.0, AT 5s ↑ 0.9",10,,Step PoC voltage to 0.9,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 0.9'],['Test no.','2'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
2,CSR,CSR CUO,5254,3,,CSR_5254_CSRCUO_003_FL-1_X2R-1_P1_Q0_V1,True,True,True,3.68,920,5,1,0,0.0,1.0,1,285,35,0.9,"0.0, AT 5s ↑ -0.1",,"1.0, AT 5s ↑ 0.9",10,,Step PoC voltage to 0.9,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 0.9'],['Test no.','3'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
3,CSR,CSR CUO,5254,4,,CSR_5254_CSRCUO_004_FL-1_X2R-1_P1_Q1_V1,True,True,True,3.68,920,5,1,1,112.575,1.04,1,285,35,1.1,"0.0, AT 5s ↑ 0.1",,"0.0, AT 5s ↑ 1.1",10,,Step PoC voltage to 1.1,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 1.1'],['Test no.','4'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
4,CSR,CSR CUO,5254,5,,CSR_5254_CSRCUO_005_FL-1_X2R-1_P1_Q-1_V1,True,True,True,3.68,920,5,1,-1,-112.575,0.96,1,285,35,1.1,"0.0, AT 5s ↑ 0.1",,"0.0, AT 5s ↑ 1.1",10,,Step PoC voltage to 1.1,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 1.1'],['Test no.','5'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
5,CSR,CSR CUO,5254,6,,CSR_5254_CSRCUO_006_FL-1_X2R-1_P1_Q0_V1,True,True,True,3.68,920,5,1,0,0.0,1.0,1,285,35,1.1,"0.0, AT 5s ↑ 0.1",,"0.0, AT 5s ↑ 1.1",10,,Step PoC voltage to 1.1,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 1.1'],['Test no.','6'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
6,CSR,CSR CUO,5254,7,,CSR_5254_CSRCUO_007_FL-1_X2R-1_P-1_Q1_V1,True,True,True,3.68,920,5,1,1,112.575,1.04,-1,-285,35,0.9,"0.0, AT 5s ↑ -0.1",,"1.0, AT 5s ↑ 0.9",10,,Step PoC voltage to 0.9,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 0.9'],['Test no.','7'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
7,CSR,CSR CUO,5254,8,,CSR_5254_CSRCUO_008_FL-1_X2R-1_P-1_Q-1_V1,True,True,True,3.68,920,5,1,-1,-112.575,0.96,-1,-285,35,0.9,"0.0, AT 5s ↑ -0.1",,"1.0, AT 5s ↑ 0.9",10,,Step PoC voltage to 0.9,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 0.9'],['Test no.','8'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
8,CSR,CSR CUO,5254,9,,CSR_5254_CSRCUO_009_FL-1_X2R-1_P-1_Q0_V1,True,True,True,3.68,920,5,1,0,0.0,1.0,-1,-285,35,0.9,"0.0, AT 5s ↑ -0.1",,"1.0, AT 5s ↑ 0.9",10,,Step PoC voltage to 0.9,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 0.9'],['Test no.','9'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
9,CSR,CSR CUO,5254,10,,CSR_5254_CSRCUO_010_FL-1_X2R-1_P-1_Q1_V1,True,True,True,3.68,920,5,1,1,112.575,1.04,-1,-285,35,1.1,"0.0, AT 5s ↑ 0.1",,"0.0, AT 5s ↑ 1.1",10,,Step PoC voltage to 1.1,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 1.1'],['Test no.','10'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
10,CSR,CSR CUO,5254,11,,CSR_5254_CSRCUO_011_FL-1_X2R-1_P-1_Q-1_V1,True,True,True,3.68,920,5,1,-1,-112.575,0.96,-1,-285,35,1.1,"0.0, AT 5s ↑ 0.1",,"0.0, AT 5s ↑ 1.1",10,,Step PoC voltage to 1.1,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 1.1'],['Test no.','11'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
11,CSR,CSR CUO,5254,12,,CSR_5254_CSRCUO_012_FL-1_X2R-1_P-1_Q0_V1,True,True,True,3.68,920,5,1,0,0.0,1.0,-1,-285,35,1.1,"0.0, AT 5s ↑ 0.1",,"0.0, AT 5s ↑ 1.1",10,,Step PoC voltage to 1.1,Vdroop,80,"[['Deliverable','CSR'],['Test Type','CSR CUO'],['Test Details','Step PoC voltage to 1.1'],['Test no.','12'],['Subtest no.',''],['SCR', '∞'],['X2R','-1']]",Appendix C CSR CUO,Appendix C CSR CUO,C,HY_Spec_CSR_300,5254_CUO,True
